Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV13	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	6624	15364	357611	9.44952e-05	5.14727e-05	2.67286e-05	1.28427e-05	75784	163504	346715	-63521068.502	-62104704.213
run2	3269	18901	458586	2.45841e-04	6.52412e-05	7.31163e-05	1.89973e-07	18732	27157	176195	-63451794.354	-62104704.213
run3	21844	3203	441760	5.18514e-04	7.06559e-05	8.14972e-06	8.30017e-05	2568	76718	96823	-62992831.945	-62104704.213
run4	9205	26632	429784	1.31954e-07	8.52547e-05	1.14561e-05	1.39262e-05	73848	129072	162425	-63584893.569	-62104704.213
run5	5118	25105	439711	1.67674e-04	4.42263e-05	4.79490e-05	2.45845e-07	35856	99351	190001	-63451076.819	-62104704.213
run6	21459	2865	464208	5.60938e-04	7.99515e-05	9.23355e-06	9.03903e-05	2356	67642	88709	-62986144.898	-62104704.213
run7	6189	19569	468512	1.48326e-04	3.61291e-05	3.84474e-05	5.35366e-06	25004	36226	153716	-63448578.074	-62104704.213
run8	9961	14310	465741	1.44740e-04	1.75929e-05	2.51304e-05	9.04572e-06	10727	35271	95468	-63388498.537	-62104704.213
run9	21002	3868	471735	3.95435e-04	4.76780e-05	1.42554e-05	6.43525e-05	3309	90077	101956	-63008089.022	-62104704.213
run10	6152	28048	443865	1.38868e-04	3.29793e-05	3.87978e-05	1.00067e-06	36201	63108	174677	-63449130.351	-62104704.213
run11	4604	23258	496537	1.76880e-04	4.86707e-05	5.18836e-05	5.29967e-07	27554	44915	168762	-63453125.427	-62104704.213
run12	7329	23887	411751	4.10427e-07	1.00663e-04	1.39351e-05	1.52883e-05	59336	103548	173226	-63581398.685	-62104704.213
run13	17564	16320	481845	1.24832e-04	7.41846e-06	1.60463e-05	1.09258e-05	11647	74107	98320	-63293584.535	-62104704.213
run14	3986	17865	455598	1.99883e-04	5.18846e-05	5.79280e-05	1.83272e-06	24219	47438	185692	-63454354.375	-62104704.213
run15	3908	20849	469542	2.07605e-04	5.04993e-05	5.91258e-05	1.94306e-08	23001	114714	189698	-63451390.495	-62104704.213
run16	18652	2526	457175	6.21584e-04	6.05721e-05	1.90451e-05	1.15750e-04	2327	60597	98984	-62976769.620	-62104704.213
run17	7597	24003	413494	3.67900e-07	9.24113e-05	1.34330e-05	1.48624e-05	64514	79711	176223	-63583502.356	-62104704.213
run18	15414	1971	451490	8.82096e-04	1.13623e-04	1.68223e-05	1.38844e-04	1539	49599	92014	-62960149.099	-62104704.213
run19	23408	11267	497226	1.64626e-04	1.08763e-05	1.49926e-05	1.61557e-05	8104	90203	102427	-63154632.096	-62104704.213
run20	2849	15832	455524	3.04886e-04	8.33598e-05	8.75882e-05	1.18752e-06	15645	44641	179056	-63458132.201	-62104704.213
run21	23904	10578	515470	1.85590e-04	1.60953e-05	1.52217e-05	1.69372e-05	6713	87194	92399	-63125362.968	-62104704.213
run22	18993	2118	466317	7.76075e-04	9.29369e-05	1.23419e-05	1.24079e-04	1823	57222	94582	-62969141.952	-62104704.213
run23	21112	2760	486315	5.98818e-04	6.31137e-05	1.26807e-05	1.06494e-04	2463	68283	96227	-62986932.250	-62104704.213
run24	19417	2884	467702	5.97383e-04	7.57349e-05	1.55221e-05	9.11983e-05	2326	71582	89931	-62987699.913	-62104704.213
run25	18914	3778	488685	4.48644e-04	5.62386e-05	1.72651e-05	5.95942e-05	2932	85086	95638	-63003471.532	-62104704.213
run26	14343	1580	464067	0.0010146	1.20981e-04	1.82568e-05	1.83759e-04	1363	41424	94995	-62951723.890	-62104704.213
run27	2665	16571	439132	2.79828e-04	9.04216e-05	8.96531e-05	7.44852e-08	15088	82656	174407	-63455591.536	-62104704.213
run28	4016	25996	464420	3.77634e-08	1.64222e-04	3.07614e-05	1.28127e-05	45054	67829	154709	-63589236.022	-62104704.213
run29	4911	20360	462648	1.98177e-04	4.82178e-05	4.84346e-05	4.44357e-06	23092	69100	158005	-63446009.097	-62104704.213
run30	16995	15810	441041	1.23308e-04	1.60523e-05	1.55590e-05	1.05576e-05	9626	67812	87577	-63272863.174	-62104704.213
run31	24446	8771	514782	2.11321e-04	1.51413e-05	1.53958e-05	2.68754e-05	6824	93935	98483	-63107873.771	-62104704.213
run32	19258	2713	484990	6.16671e-04	7.79863e-05	1.42039e-05	9.21715e-05	2116	58783	92620	-62979263.103	-62104704.213
run33	3139	18703	456895	2.88948e-04	8.71006e-05	7.47081e-05	9.92585e-08	19651	35852	188407	-63451670.036	-62104704.213
run34	4120	21576	455868	2.08383e-04	6.41586e-05	5.54182e-05	1.70625e-06	25476	44396	186158	-63451118.942	-62104704.213
run35	4272	22497	464025	1.90768e-04	4.98519e-05	5.60775e-05	1.01513e-06	25963	44771	186222	-63451590.373	-62104704.213
run36	13584	1608	467208	0.0010925	1.31953e-04	1.71886e-05	1.67230e-04	1288	38730	98339	-62950522.853	-62104704.213
run37	18224	1467	464928	0.0010815	1.22014e-04	1.00265e-05	2.25090e-04	1417	49948	95855	-62960324.930	-62104704.213
run38	4927	23767	484118	1.84216e-04	4.16011e-05	5.11608e-05	9.20217e-07	26128	47767	163022	-63450473.092	-62104704.213
run39	5798	16509	337008	1.88246e-07	9.14073e-05	1.68284e-05	2.27369e-05	93899	280730	618565	-63607049.085	-62104704.213
run40	18713	3010	438496	5.62390e-04	6.59559e-05	1.53408e-05	9.08191e-05	2419	61698	98609	-62983177.314	-62104704.213
run41	5828	23332	446553	1.59576e-04	4.07151e-05	4.04763e-05	3.60400e-06	31275	97191	178565	-63450378.370	-62104704.213
run42	5051	21783	481252	1.74716e-04	4.10753e-05	4.97088e-05	7.11150e-07	24210	42616	151040	-63451058.273	-62104704.213
run43	5788	15605	326617	5.30493e-07	9.32993e-05	1.87681e-05	2.53516e-05	83650	234915	634774	-63606564.360	-62104704.213
run44	1416	8882	486618	5.17765e-04	1.78956e-04	1.63576e-04	3.18607e-06	7002	33943	156840	-63462033.120	-62104704.213
run45	3925	18484	451866	2.36224e-04	6.31280e-05	6.40584e-05	3.08875e-07	19192	31833	192394	-63457852.488	-62104704.213
run46	19811	2411	469355	6.67077e-04	8.04419e-05	1.28057e-05	1.16386e-04	2083	66907	94623	-62975115.750	-62104704.213
run47	2739	19852	472749	2.78053e-04	8.42296e-05	8.50149e-05	1.18741e-07	18303	55853	204190	-63456241.694	-62104704.213
run48	2885	16788	466789	2.39908e-04	7.53454e-05	8.27748e-05	1.94633e-06	16598	61501	170836	-63454613.792	-62104704.213
run49	19670	2784	454256	5.84956e-04	7.53875e-05	1.25114e-05	9.04108e-05	2245	64867	99008	-62979601.469	-62104704.213
run50	4672	22162	469079	2.06058e-04	4.39434e-05	5.13464e-05	5.67069e-07	24917	37435	179126	-63450266.660	-62104704.213
run51	17662	2309	451032	7.18222e-04	9.11676e-05	1.25604e-05	1.13038e-04	1817	56442	91763	-62969697.593	-62104704.213
