Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV13	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run52	5075	25820	366431	1.71642e-04	2.75916e-05	4.94976e-05	1.52374e-07	48171	233529	358412	-63481125.572	-62104704.213
run53	4758	22735	453916	1.82581e-04	4.33909e-05	5.30993e-05	1.34852e-06	27333	128969	166310	-63448853.223	-62104704.213
run54	5251	26627	450177	1.59095e-04	4.06302e-05	4.31262e-05	2.27844e-07	32023	50518	183833	-63450800.430	-62104704.213
run55	22702	4632	468214	3.66488e-04	3.81676e-05	1.61271e-05	4.92706e-05	3462	75205	98044	-63013000.201	-62104704.213
run56	6830	31167	443283	1.30846e-04	3.36234e-05	3.42487e-05	1.38572e-07	39216	76421	182803	-63454738.378	-62104704.213
run57	4016	21944	465054	2.22247e-04	6.08311e-05	5.77660e-05	3.95461e-08	20491	25696	160512	-63449042.309	-62104704.213
run58	16795	1946	459413	8.89862e-04	9.72357e-05	1.79462e-05	1.44316e-04	1602	50095	93288	-62961167.466	-62104704.213
run59	17602	1821	473169	9.18850e-04	1.11621e-04	1.60401e-05	1.34969e-04	1472	51918	93743	-62959446.472	-62104704.213
run60	16042	1681	451497	9.59851e-04	1.22848e-04	1.28272e-05	1.78228e-04	1497	48455	98549	-62958202.403	-62104704.213
run61	1027	26164	460987	3.58671e-06	6.43166e-04	1.50205e-04	1.20480e-05	42416	52928	130631	-63591693.622	-62104704.213
run62	27343	7365	438501	2.28685e-04	2.58471e-05	1.17036e-05	3.31518e-05	5695	95159	101143	-63069438.152	-62104704.213
run63	8246	33102	441189	1.27074e-04	2.25667e-05	2.98391e-05	9.42288e-07	52627	59321	194155	-63460709.097	-62104704.213
run64	4460	26022	458283	1.90972e-04	7.29035e-05	5.05326e-05	3.01139e-07	27160	28848	170493	-63450905.736	-62104704.213
run65	14288	1665	460204	0.0010915	1.48813e-04	1.11329e-05	1.49143e-04	1301	41680	90335	-62956994.710	-62104704.213
run66	4251	24521	456893	2.05228e-04	4.85128e-05	5.52572e-05	2.54414e-07	24265	103123	181148	-63452990.550	-62104704.213
run67	6091	26866	344490	1.39751e-04	3.23219e-05	4.03262e-05	1.15340e-07	74464	545067	638406	-63483194.514	-62104704.213
run68	4708	15061	359964	5.37329e-07	1.16892e-04	2.47694e-05	2.78784e-05	69209	173028	490198	-63605945.334	-62104704.213
run69	5736	24816	431817	1.41771e-04	4.28160e-05	4.07865e-05	2.57387e-06	35376	134687	176469	-63453578.708	-62104704.213
run70	22119	3871	484816	4.15235e-04	5.59503e-05	1.13432e-05	5.78500e-05	3026	80878	90581	-63008052.213	-62104704.213
run71	9551	1014	451011	0.0016573	1.98955e-04	3.14443e-05	2.69750e-04	823	26245	97110	-62939981.993	-62104704.213
run72	5679	26427	442787	1.50040e-04	4.33625e-05	4.22944e-05	3.18609e-07	28519	41711	170856	-63447413.722	-62104704.213
run73	17285	2019	464711	8.00180e-04	1.09800e-04	1.01294e-05	1.51200e-04	1757	53843	92605	-62966915.841	-62104704.213
run74	5531	24030	475588	1.60997e-04	3.16542e-05	4.35786e-05	2.18462e-06	28102	38075	148388	-63446205.992	-62104704.213
run75	3029	16969	461534	2.86031e-04	6.56098e-05	8.06791e-05	1.33170e-07	14684	108759	173800	-63451887.507	-62104704.213
run76	4079	19176	428209	2.22156e-04	4.89997e-05	5.98943e-05	5.63260e-07	22814	26153	204199	-63451798.212	-62104704.213
run77	13323	1671	471403	0.0010012	1.22972e-04	1.96254e-05	1.68368e-04	1341	39027	92336	-62952619.556	-62104704.213
run78	21439	4404	442974	3.60766e-04	4.43926e-05	1.39626e-05	5.66804e-05	3826	96070	105341	-63015536.448	-62104704.213
run79	3678	17846	449731	2.41070e-04	5.82076e-05	6.58330e-05	3.96748e-06	18051	30732	162334	-63449588.085	-62104704.213
run80	2124	14483	479837	4.06707e-04	1.25588e-04	1.12917e-04	6.01754e-08	11186	146813	169145	-63458560.817	-62104704.213
run81	3441	18414	454663	2.37140e-04	5.94279e-05	7.10526e-05	1.40719e-07	22380	27759	205509	-63454134.757	-62104704.213
run82	3523	20344	467907	2.36250e-04	7.50874e-05	6.42146e-05	1.66935e-07	21414	24283	193654	-63449228.954	-62104704.213
run83	15879	2521	481237	7.15596e-04	8.25670e-05	1.89927e-05	9.20508e-05	1829	49565	91137	-62974367.080	-62104704.213
run84	4299	22664	440033	1.86049e-04	4.72062e-05	5.64958e-05	1.74259e-06	25892	97818	180307	-63447190.754	-62104704.213
run85	2069	15286	454202	3.83744e-04	1.22851e-04	1.04380e-04	6.63475e-07	13677	28469	225283	-63460995.945	-62104704.213
run86	3159	17330	462851	2.52334e-04	7.80517e-05	7.33591e-05	1.53373e-06	20305	64135	199663	-63456415.443	-62104704.213
run87	3607	19302	477766	2.22851e-04	6.62049e-05	6.57879e-05	1.04766e-07	20582	31937	182891	-63449954.084	-62104704.213
run88	4372	20053	469325	2.11250e-04	4.17066e-05	5.56129e-05	3.74805e-07	21766	68338	187018	-63453625.311	-62104704.213
run89	2990	18040	467147	2.71059e-04	8.12775e-05	8.24852e-05	7.91499e-08	16819	39364	178760	-63453769.037	-62104704.213
run90	3476	19171	456239	2.33886e-04	7.01190e-05	6.92612e-05	6.95418e-08	16692	127127	157067	-63455877.090	-62104704.213
run91	2968	16693	475540	2.52375e-04	7.11512e-05	8.23249e-05	1.44080e-06	17410	23703	163780	-63456479.094	-62104704.213
run92	1865	12163	480973	4.10676e-04	1.39409e-04	1.24910e-04	6.09832e-08	11864	20365	179042	-63459700.693	-62104704.213
run93	6329	22569	466906	1.45921e-04	3.66274e-05	3.86321e-05	3.71369e-06	31111	59745	162359	-63450213.236	-62104704.213
run94	5264	21014	424231	1.70403e-04	3.29979e-05	4.93446e-05	2.18890e-06	27714	40856	178433	-63450239.650	-62104704.213
run95	3940	18426	469549	2.55505e-04	5.32984e-05	6.36171e-05	9.01499e-07	19195	21508	172981	-63451410.067	-62104704.213
run96	3359	17964	471520	2.80475e-04	5.31462e-05	7.62716e-05	7.16470e-07	13693	61904	164862	-63454746.215	-62104704.213
run97	15144	1822	451703	9.02397e-04	1.16760e-04	1.68394e-05	1.44267e-04	1480	46059	95877	-62956986.075	-62104704.213
run98	9269	32126	447700	1.04062e-04	2.14784e-05	2.56793e-05	1.82091e-06	33024	57856	139246	-63455457.439	-62104704.213
run99	15966	1742	450022	9.76822e-04	1.17929e-04	1.40930e-05	1.41824e-04	1366	44226	94675	-62956593.059	-62104704.213
run100	18566	2131	438224	7.55677e-04	8.70301e-05	1.35755e-05	1.50442e-04	1883	55354	100476	-62970559.078	-62104704.213
