Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV13	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run72	18883	2890	450790	9.00237e-04	1.47671e-04	1331	54928	69670	-63082958.521	-62104704.213
run73	23110	6122	503431	4.17238e-04	8.13956e-05	2706	69221	73531	-63147426.777	-62104704.213
run74	20679	3218	517794	7.55724e-04	1.36179e-04	1486	63279	66074	-63099345.932	-62104704.213
run75	19995	3146	433440	8.05368e-04	1.32824e-04	1427	61406	65801	-63089369.482	-62104704.213
run76	22457	3347	480718	7.35948e-04	1.18669e-04	1598	63149	68800	-63095655.887	-62104704.213
run77	19061	3075	476605	7.85247e-04	1.35553e-04	1449	58297	62088	-63087862.863	-62104704.213
run78	15990	2348	483654	0.0010953	1.84936e-04	1078	41492	67809	-63071989.199	-62104704.213
run79	18631	3194	482218	7.88274e-04	1.37745e-04	1467	59775	67375	-63088273.521	-62104704.213
run80	21841	5660	499544	4.56592e-04	8.91934e-05	2509	68429	71534	-63136077.018	-62104704.213
run81	400306	2324	438060	6.77471e-04	2.63416e-04	26668	34559	60593	-64759669.756	-62104704.213
run82	17605	3068	478446	7.95531e-04	1.38642e-04	1454	50915	71037	-63082292.633	-62104704.213
run83	20630	3730	515601	6.55564e-04	1.13333e-04	1776	61443	65902	-63101970.822	-62104704.213
run84	19133	3304	484469	8.01022e-04	1.33727e-04	1481	54329	67437	-63088914.078	-62104704.213
run85	18803	2755	449336	9.08928e-04	1.50883e-04	1285	52375	70645	-63082160.460	-62104704.213
run86	21594	4877	482005	4.88357e-04	9.31133e-05	2320	67758	69749	-63123408.783	-62104704.213
run87	21143	3357	454581	7.36011e-04	1.19583e-04	1558	61595	66998	-63091688.770	-62104704.213
run88	488919	3477	465995	4.46015e-04	1.94957e-04	35796	43854	69183	-64783848.109	-62104704.213
run89	19989	3803	461309	7.00060e-04	1.16700e-04	1670	59729	63084	-63098112.777	-62104704.213
run90	409093	1860	449933	8.68524e-04	3.36790e-04	21901	23028	68759	-64745174.786	-62104704.213
run91	21300	3317	465040	7.61910e-04	1.20069e-04	1535	58737	68915	-63093356.643	-62104704.213
run92	21272	3431	466883	7.43550e-04	1.22192e-04	1559	60580	69080	-63092006.661	-62104704.213
run93	27343	7512	496479	3.24980e-04	5.63319e-05	3297	72600	74507	-63192096.389	-62104704.213
run94	545665	1411	403032	0.0013119	4.28925e-04	19982	29316	63464	-64746995.933	-62104704.213
run95	19886	3032	473052	8.32013e-04	1.37526e-04	1434	55930	66298	-63088945.688	-62104704.213
run96	19383	3143	436630	7.93664e-04	1.34936e-04	1463	55641	65613	-63088609.443	-62104704.213
run97	24585	5120	491092	5.13786e-04	8.28151e-05	2320	72162	75479	-63130526.975	-62104704.213
run98	20913	3765	486446	6.88384e-04	1.18381e-04	1668	68119	70814	-63100593.232	-62104704.213
run99	25149	8000	487111	3.22567e-04	6.32476e-05	3631	78191	79638	-63191219.794	-62104704.213
run100	19190	3768	483491	7.00064e-04	1.24453e-04	1618	58493	65106	-63095878.235	-62104704.213
