Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_G2C	MIG_G2E	DIV13	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	10899	1205	507111	0.0013389	1.39441e-04	3.51311e-05	2.21996e-04	1057	30601	68784	-62958500.947	-62104704.213
run2	10689	7338	436446	2.17044e-04	2.33938e-05	2.13123e-05	4.51420e-05	52571	62207	68344	-63392443.898	-62104704.213
run3	18896	1792	481891	8.75332e-04	1.17275e-04	6.84997e-06	1.61986e-04	1574	52508	67826	-62983513.646	-62104704.213
run4	16372	2093	472717	7.98734e-04	8.37548e-05	1.94282e-05	1.37908e-04	1821	47194	67203	-62981339.832	-62104704.213
run5	9950	8333	465357	1.96151e-04	1.89830e-05	2.57731e-05	3.74565e-05	54241	61184	63937	-63391493.273	-62104704.213
run6	10844	1347	459797	0.0012117	1.40191e-04	3.38519e-05	2.20896e-04	1152	33190	68110	-62958281.959	-62104704.213
run7	13220	1051	473130	0.0014864	1.96318e-04	1.17755e-05	3.39789e-04	977	36870	68024	-62958422.530	-62104704.213
run8	13206	1448	469128	0.0011262	1.05850e-04	3.70452e-05	2.04357e-04	1284	38124	64324	-62965917.035	-62104704.213
run9	17184	1729	473423	8.58908e-04	1.21207e-04	1.05105e-05	1.86683e-04	1592	50545	66466	-62985003.433	-62104704.213
run10	17754	3613	467941	4.85141e-04	4.55347e-05	2.64448e-05	7.22470e-05	2722	60418	64250	-63006173.362	-62104704.213
run11	12976	1139	495822	0.0012587	1.50544e-04	2.39843e-05	2.71586e-04	1140	37567	71249	-62960457.038	-62104704.213
run12	1465	15100	507293	1.91355e-07	4.89813e-04	1.09012e-04	2.56222e-05	40928	53814	68760	-63514311.163	-62104704.213
run13	1689	8111	470422	5.27847e-04	1.48577e-04	1.45236e-04	1.60814e-05	52441	58039	72662	-63387650.546	-62104704.213
run14	11265	1049	471794	0.0014469	1.69297e-04	2.85706e-05	3.22567e-04	1066	31430	67414	-62954143.013	-62104704.213
run15	13847	1604	477599	9.81284e-04	9.55285e-05	3.01178e-05	1.96248e-04	1453	42674	65499	-62968304.837	-62104704.213
run16	18141	2034	438048	7.94806e-04	7.86084e-05	2.50560e-05	1.55753e-04	1812	56959	64402	-62980737.884	-62104704.213
run17	8658	1242	458222	0.0013064	1.20238e-04	5.75236e-05	2.58408e-04	1081	25715	66908	-62957804.433	-62104704.213
run18	11474	1340	476146	0.0012264	1.14964e-04	3.84248e-05	2.32537e-04	1206	34121	66392	-62959881.412	-62104704.213
run19	10208	1193	458892	0.0014045	1.58614e-04	3.32331e-05	2.55360e-04	1019	29134	67154	-62951979.946	-62104704.213
run20	12013	1229	474364	0.0011849	1.52862e-04	2.44120e-05	2.82919e-04	1162	35821	67176	-62957690.413	-62104704.213
run21	10731	1217	479102	0.0012725	1.41009e-04	3.29493e-05	2.49174e-04	1130	31953	71638	-62957286.653	-62104704.213
run22	14798	1558	469816	9.89830e-04	9.70146e-05	2.55026e-05	2.24160e-04	1580	44268	61856	-62969529.369	-62104704.213
run23	2436	6891	472146	4.62881e-04	6.87467e-05	1.14516e-04	2.83201e-05	35961	40958	67737	-63384947.117	-62104704.213
run24	17295	2644	491971	6.37132e-04	5.56350e-05	2.99477e-05	1.02436e-04	2184	57817	62643	-62995638.018	-62104704.213
run25	13618	1078	489590	0.0013991	1.79289e-04	1.44305e-05	3.01419e-04	1098	40679	65952	-62958803.585	-62104704.213
run26	17540	2445	447975	6.15854e-04	6.41138e-05	2.17572e-05	1.17941e-04	2311	59154	64224	-62992375.952	-62104704.213
run27	13568	1222	472269	0.0012207	1.45856e-04	1.97920e-05	2.56579e-04	1207	40646	69905	-62960273.633	-62104704.213
run28	12639	1632	467118	0.0010122	1.07616e-04	3.09233e-05	1.81374e-04	1403	36729	69592	-62965614.283	-62104704.213
run29	8821	1064	477741	0.0016719	1.91191e-04	3.68611e-05	2.59573e-04	833	24343	66666	-62951038.750	-62104704.213
run30	16885	3356	485932	5.08000e-04	5.41483e-05	2.54704e-05	8.09389e-05	2556	67090	70528	-63009642.299	-62104704.213
run31	11502	1150	475089	0.0013671	1.57572e-04	2.89149e-05	2.48511e-04	1090	34500	71343	-62957553.855	-62104704.213
run32	17676	2105	493006	8.16141e-04	8.72498e-05	2.12559e-05	1.30722e-04	1725	52264	63692	-62983162.242	-62104704.213
run33	12971	1700	452723	9.58125e-04	8.46431e-05	4.02383e-05	1.58548e-04	1406	37848	64641	-62972975.202	-62104704.213
run34	9308	1016	479169	0.0016051	1.57937e-04	4.24797e-05	2.87413e-04	935	25779	69222	-62950730.175	-62104704.213
run35	14434	1860	456625	9.04797e-04	1.01995e-04	2.46738e-05	1.50824e-04	1493	44606	67861	-62972639.765	-62104704.213
run36	1108	3269	437754	9.57931e-04	2.43862e-04	2.17343e-04	6.98959e-05	6209	18046	72916	-63374593.208	-62104704.213
run37	8847	1016	472603	0.0015411	1.65867e-04	4.39625e-05	2.84577e-04	954	23495	71419	-62953490.778	-62104704.213
run38	12153	1348	473123	0.0011532	1.29299e-04	3.05424e-05	2.26120e-04	1227	35273	69337	-62959298.937	-62104704.213
run39	12520	1341	475509	0.0011342	1.27026e-04	2.72472e-05	2.45259e-04	1301	38270	67064	-62960173.938	-62104704.213
run40	6862	1151	494448	0.0012155	1.51925e-04	5.58753e-05	2.83501e-04	1178	66602	70266	-62984676.419	-62104704.213
run41	9710	1060	446170	0.0014734	1.59249e-04	4.10331e-05	3.16315e-04	962	27121	69837	-62953001.456	-62104704.213
run42	9569	1028	477492	0.0016735	1.83868e-04	3.74517e-05	2.94246e-04	840	26105	67728	-62949477.213	-62104704.213
run43	10634	1677	453859	9.19874e-04	8.24934e-05	4.72788e-05	1.71902e-04	1492	32657	65034	-62971438.151	-62104704.213
run44	10012	1053	463355	0.0015303	1.63489e-04	4.13521e-05	2.92820e-04	939	28179	67638	-62947835.518	-62104704.213
run45	12961	1279	476445	0.0012619	1.50417e-04	2.03730e-05	2.46755e-04	1155	38066	68975	-62958674.519	-62104704.213
run46	1331	8078	469277	6.47503e-04	1.20141e-04	2.03615e-04	9.49853e-06	50157	53800	69550	-63388004.157	-62104704.213
run47	1953	5773	506759	4.96417e-04	1.03285e-04	1.32140e-04	3.48134e-05	10334	11372	68515	-63379978.485	-62104704.213
run48	1725	4545	432271	6.54518e-04	8.06999e-05	1.68333e-04	4.50963e-05	56090	57871	72416	-63381870.402	-62104704.213
run49	15496	2051	452940	8.07746e-04	9.46041e-05	2.14602e-05	1.54726e-04	1762	49961	65513	-62977449.745	-62104704.213
run50	11950	1415	454135	0.0011374	1.35697e-04	2.72519e-05	2.24559e-04	1296	37875	66095	-62960264.366	-62104704.213
run51	17989	1648	459506	9.13713e-04	1.00935e-04	2.11647e-05	1.90696e-04	1534	53228	63611	-62977076.901	-62104704.213
run52	9840	1078	460331	0.0014399	1.50227e-04	3.78546e-05	2.98431e-04	1030	28675	62993	-62951127.199	-62104704.213
run53	10488	1588	447482	0.0010575	1.09983e-04	4.01332e-05	1.90494e-04	1341	32888	64089	-62966701.927	-62104704.213
run54	16994	2737	486429	6.04631e-04	7.12923e-05	2.07549e-05	9.63204e-05	2222	58744	66637	-62994083.761	-62104704.213
run55	18933	2688	487396	6.06935e-04	6.05367e-05	2.08022e-05	1.16732e-04	2304	62945	63957	-62997923.008	-62104704.213
run56	10815	4394	487477	3.11244e-04	2.08399e-05	2.23253e-05	7.57541e-05	60356	63479	65099	-63384561.942	-62104704.213
run57	13246	1379	469293	0.0011961	1.34400e-04	2.52894e-05	2.11216e-04	1204	37522	68389	-62961583.206	-62104704.213
run58	11716	1101	471751	0.0013722	1.63918e-04	2.91102e-05	2.74043e-04	1078	34576	71908	-62954729.572	-62104704.213
run59	13708	1435	477460	0.0010671	1.31436e-04	2.23934e-05	2.30568e-04	1332	42269	67460	-62963927.978	-62104704.213
run60	9733	1083	489646	0.0014168	1.41223e-04	4.56369e-05	2.95324e-04	1063	27695	63636	-62954678.922	-62104704.213
run61	17781	1915	512438	8.17530e-04	1.01460e-04	1.23074e-05	1.72542e-04	1747	53728	64075	-62983873.748	-62104704.213
run62	2359	4840	446688	5.60298e-04	5.70325e-05	1.12474e-04	5.58226e-05	33544	53965	66912	-63378876.733	-62104704.213
run63	18507	3533	494643	4.85511e-04	3.84598e-05	2.60588e-05	6.71352e-05	2818	56242	62262	-63015711.127	-62104704.213
run64	12529	1018	465329	0.0015250	1.89615e-04	1.91615e-05	3.02992e-04	958	35262	65085	-62954824.399	-62104704.213
run65	1958	6544	501361	5.51965e-04	1.01943e-04	1.27967e-04	2.96301e-05	11092	15037	73916	-63383633.129	-62104704.213
run66	9007	1032	507960	0.0015684	1.71875e-04	4.13411e-05	3.04262e-04	894	25629	68154	-62951341.233	-62104704.213
run67	13077	1259	467432	0.0012004	1.33460e-04	2.50738e-05	2.28710e-04	1264	38663	69229	-62961998.434	-62104704.213
run68	11421	1046	467764	0.0015460	1.87137e-04	2.57191e-05	2.68180e-04	955	31527	70729	-62951069.424	-62104704.213
run69	8730	1975	451691	9.02541e-04	7.42733e-05	5.40068e-05	1.40329e-04	1516	27291	72278	-62987288.166	-62104704.213
run70	1078	16946	465845	4.51737e-07	6.67782e-04	1.63920e-04	2.16713e-05	32219	34853	69476	-63507856.154	-62104704.213
run71	18479	3075	500831	5.59152e-04	4.89921e-05	2.33391e-05	8.32819e-05	2574	63211	66392	-63005896.265	-62104704.213
run72	13270	1357	467419	0.0011261	1.05406e-04	3.41649e-05	2.43122e-04	1329	39329	65991	-62965664.476	-62104704.213
run73	5383	10318	459558	2.14296e-04	2.41242e-05	5.10804e-05	2.13951e-05	7757	21334	67896	-63374935.953	-62104704.213
run74	12977	1204	466219	0.0012713	1.64625e-04	1.84176e-05	2.61059e-04	1074	37050	64354	-62957557.868	-62104704.213
run75	13285	1234	451371	0.0012500	1.40518e-04	2.14704e-05	2.45788e-04	1165	37502	69787	-62959350.163	-62104704.213
run76	14338	1141	457290	0.0011917	1.36155e-04	2.31679e-05	2.91830e-04	1249	40402	64013	-62959786.679	-62104704.213
run77	14918	1663	479893	9.61232e-04	1.09424e-04	2.29122e-05	1.80227e-04	1474	44057	65034	-62969002.784	-62104704.213
run78	12867	1341	488336	0.0010987	1.13156e-04	3.38382e-05	2.42137e-04	1315	36218	64729	-62962949.562	-62104704.213
run79	6520	1165	461643	0.0013374	1.08787e-04	7.32827e-05	2.64618e-04	1017	19809	71197	-62967386.449	-62104704.213
run80	15251	1945	476368	8.67014e-04	9.10251e-05	2.17032e-05	1.56678e-04	1740	46278	64940	-62978232.861	-62104704.213
run81	16872	2441	482242	6.17221e-04	6.90980e-05	2.05827e-05	1.29774e-04	2360	58352	65761	-62994278.468	-62104704.213
run82	15690	1774	473169	9.01431e-04	9.19147e-05	2.74289e-05	1.81867e-04	1599	49609	63019	-62973790.260	-62104704.213
run83	12659	1351	459029	0.0011683	1.24214e-04	2.88115e-05	2.37318e-04	1198	36071	66231	-62959670.410	-62104704.213
run84	12481	8478	431764	1.91557e-04	1.38199e-05	1.93350e-05	3.80412e-05	57914	62720	65076	-63396530.342	-62104704.213
run85	14019	2099	465651	8.63435e-04	8.43060e-05	2.86848e-05	1.21361e-04	1629	40259	67706	-62977427.379	-62104704.213
run86	10738	6184	471236	2.61982e-04	2.02137e-05	2.22838e-05	5.62275e-05	66379	67318	69789	-63390850.597	-62104704.213
run87	13676	1106	472142	0.0013542	1.68415e-04	1.28116e-05	3.08250e-04	1065	39491	68374	-62958489.830	-62104704.213
run88	12912	1204	508225	0.0012562	1.34916e-04	2.91644e-05	2.73207e-04	1192	37239	64823	-62961299.483	-62104704.213
run89	13306	1139	478831	0.0013489	1.77530e-04	1.06349e-05	2.71735e-04	1039	39221	68744	-62959837.454	-62104704.213
run90	6769	1012	494485	0.0017563	1.75561e-04	6.69063e-05	2.85029e-04	765	19411	71775	-62954641.168	-62104704.213
run91	16643	1430	451972	9.47966e-04	1.09072e-04	1.99637e-05	2.35712e-04	1486	48829	63926	-62971293.060	-62104704.213
run92	15717	1875	481826	8.26976e-04	1.02883e-04	2.21493e-05	1.67058e-04	1736	56819	65740	-62982165.155	-62104704.213
run93	1870	6006	468850	5.62280e-04	7.73139e-05	1.49164e-04	3.34217e-05	9413	11301	73569	-63379381.679	-62104704.213
run94	14603	1808	473360	8.97207e-04	1.08055e-04	1.93996e-05	1.62662e-04	1559	46042	64271	-62974173.241	-62104704.213
