Run	N_CMC	N_CME	N_CMS	DIV13	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run1	35898	29093	356280	3342	10709	45790	-64357306.936	-62104704.213
run2	36192	52437	385283	8646	9444	51020	-64350158.289	-62104704.213
run3	36456	50186	405086	7415	8765	47928	-64351881.432	-62104704.213
run4	41606	53970	303650	9303	10265	40399	-64360674.154	-62104704.213
run5	33698	53963	399020	8224	9234	45105	-64351345.677	-62104704.213
run6	37118	39343	382657	7218	9866	47497	-64352876.805	-62104704.213
run7	41140	49833	292428	8635	10879	42694	-64364045.963	-62104704.213
run8	32842	63710	355373	4132	8504	46952	-64353656.427	-62104704.213
run9	39239	44689	415167	8386	10730	49185	-64351442.628	-62104704.213
run10	40330	48624	411318	7610	10697	50470	-64358324.500	-62104704.213
run11	39851	50103	416294	8102	10496	52374	-64357346.232	-62104704.213
run12	40742	48667	307364	7886	10943	42101	-64363052.514	-62104704.213
run13	38821	45072	424850	7418	10027	48513	-64356546.109	-62104704.213
run14	34615	46010	420481	8068	9576	50599	-64353044.795	-62104704.213
run15	36876	39386	365524	7106	10110	47714	-64350748.831	-62104704.213
run16	35027	36074	324392	7217	9675	43201	-64358291.312	-62104704.213
run17	39731	47831	420785	9270	10801	48577	-64354803.261	-62104704.213
run18	35654	32756	441521	5569	10105	49764	-64356424.865	-62104704.213
run19	35866	54533	402463	8827	9322	44631	-64347257.295	-62104704.213
run20	39537	25095	330342	3748	9856	46811	-64361957.923	-62104704.213
run21	36410	43804	461435	7986	9662	50341	-64356964.569	-62104704.213
run22	38936	47476	402532	8300	10184	49898	-64353435.861	-62104704.213
run23	36865	36421	391352	4673	9102	49318	-64352946.556	-62104704.213
run24	35738	35184	409209	6178	9449	45715	-64352759.315	-62104704.213
run25	37877	52183	302093	8978	10163	44528	-64368169.473	-62104704.213
run26	39700	43006	371467	7217	10267	46328	-64349105.366	-62104704.213
run27	40088	44868	407778	7272	10225	48187	-64354861.552	-62104704.213
run28	38542	57187	296432	10343	11223	42274	-64365708.442	-62104704.213
run29	37337	46451	350879	8472	9404	43958	-64353021.861	-62104704.213
run30	41504	55328	396532	8693	9879	48468	-64352713.087	-62104704.213
run31	33260	36585	392101	6927	9369	51340	-64354781.422	-62104704.213
run32	39841	46847	423702	6907	10280	47512	-64355684.040	-62104704.213
run33	36854	50292	449930	9157	9779	47776	-64353946.584	-62104704.213
run34	33253	53707	379490	9208	9567	47558	-64355302.351	-62104704.213
run35	40902	48004	445101	7573	10328	46279	-64352826.650	-62104704.213
run36	38858	49065	362676	7116	9466	47390	-64352390.160	-62104704.213
run37	37377	48262	403192	9010	10193	48532	-64351757.005	-62104704.213
run38	31974	43321	439516	6720	8466	50898	-64356760.621	-62104704.213
run39	32991	38815	374673	6732	8710	43378	-64352610.159	-62104704.213
run40	41666	45401	376687	6500	9811	47135	-64352495.772	-62104704.213
run41	36534	44556	398887	6920	9990	47646	-64352329.704	-62104704.213
run42	40077	55866	386736	10328	10656	49334	-64352599.281	-62104704.213
run43	38811	54790	427948	10212	10461	50160	-64354490.459	-62104704.213
run44	36494	44305	407960	7298	9533	50040	-64349056.321	-62104704.213
run45	35882	48299	443565	7531	9190	52319	-64356439.747	-62104704.213
run46	46611	54033	318406	8641	11060	40606	-64359475.073	-62104704.213
run47	34229	54744	407709	9137	9590	47921	-64353727.594	-62104704.213
run48	35168	44138	449247	7338	9687	52315	-64359493.831	-62104704.213
