Run	N_CMC	N_CME	N_CMS	DIV13	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run49	38684	42774	393854	7037	10277	45874	-64349756.471	-62104704.213
run50	37919	47446	406863	7888	9745	49763	-64353472.876	-62104704.213
run51	38933	52311	451389	9143	9481	49211	-64358610.717	-62104704.213
run52	37727	51147	377401	9055	10638	45264	-64350772.928	-62104704.213
run53	35806	44960	422415	7954	9470	45450	-64353704.596	-62104704.213
run54	39509	54450	386341	8892	10378	44257	-64353157.800	-62104704.213
run55	41012	51368	406093	8913	10057	45567	-64352052.862	-62104704.213
run56	35807	43607	369309	6098	9295	47381	-64352952.716	-62104704.213
run57	37273	45840	433024	7364	9672	52419	-64354235.378	-62104704.213
run58	38934	49343	389429	7817	10194	48925	-64352423.003	-62104704.213
run59	37575	46899	472420	8696	9942	47170	-64356662.496	-62104704.213
run60	38020	52746	427238	8487	9630	51100	-64358048.214	-62104704.213
run61	36587	50716	396751	6521	9655	48997	-64351057.595	-62104704.213
run62	44151	54017	410886	9912	11423	46665	-64355703.234	-62104704.213
run63	33374	33115	402105	5239	9054	54626	-64355306.648	-62104704.213
run64	42972	35920	361674	6266	11641	46373	-64352037.083	-62104704.213
run65	38008	38052	407889	5139	10436	49163	-64349910.913	-62104704.213
run66	38072	54342	439950	9125	10222	44869	-64361117.450	-62104704.213
run67	37925	48622	448887	8975	10913	48633	-64356185.039	-62104704.213
run68	36282	28750	437085	4040	10111	48427	-64358108.965	-62104704.213
run69	36547	39496	419715	7809	10038	47868	-64353329.198	-62104704.213
run70	39833	47332	386716	7216	9746	46697	-64352339.790	-62104704.213
run71	36658	53632	365747	9103	10243	44661	-64358462.490	-62104704.213
run72	37770	50546	379775	8899	10609	42658	-64353141.114	-62104704.213
run73	39858	54687	366969	9847	10407	46109	-64352391.438	-62104704.213
run74	35917	59338	371285	7692	9268	45360	-64357463.175	-62104704.213
run75	40345	49318	353560	8181	10393	47072	-64350431.152	-62104704.213
run76	40381	51491	358627	8497	10715	44149	-64348516.077	-62104704.213
run77	36271	45205	419756	7552	10044	51368	-64354290.177	-62104704.213
run78	38475	46855	455867	7621	10299	53441	-64359777.385	-62104704.213
run79	31437	46016	304220	8932	9375	42104	-64362547.354	-62104704.213
run80	35931	46254	426215	6862	9165	51032	-64354405.803	-62104704.213
run81	37465	45002	411869	8653	9058	49454	-64351747.894	-62104704.213
run82	45262	57760	298785	9637	12008	39475	-64368139.382	-62104704.213
run83	39197	42777	405537	4099	10252	44600	-64350123.300	-62104704.213
run84	36121	17653	375736	2705	10273	43496	-64359106.230	-62104704.213
run85	39317	46027	369296	7712	9833	47325	-64355196.196	-62104704.213
run86	34214	41253	400791	6908	9465	49255	-64356070.611	-62104704.213
run87	34564	45173	460986	8231	9538	48098	-64357128.622	-62104704.213
run88	41676	48965	349366	8918	11529	46382	-64352002.106	-62104704.213
run89	42984	44644	306904	5980	11579	38323	-64368271.013	-62104704.213
run90	42139	40844	405083	5883	11115	48880	-64354757.930	-62104704.213
run91	34034	40046	409172	6483	8446	50159	-64356464.954	-62104704.213
run92	35807	46101	360270	7533	9331	48722	-64355546.641	-62104704.213
run93	35712	42258	423783	7179	9525	49780	-64355127.496	-62104704.213
run94	36149	51625	349489	8711	9486	43521	-64354655.137	-62104704.213
run95	40420	44163	445204	7933	9715	53261	-64356726.556	-62104704.213
run96	47624	45278	395142	8334	12660	46234	-64355249.886	-62104704.213
run97	34184	46376	458547	7966	8999	50061	-64358778.273	-62104704.213
run98	35315	43963	403958	8114	9881	48896	-64353513.257	-62104704.213
run99	38233	41943	396377	8233	10383	44294	-64353860.455	-62104704.213
run100	32268	48975	431865	8833	8992	49920	-64347754.366	-62104704.213
