Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV12	DIV02	MaxEstLhood	MaxObsLhood
run40	6640	68850	613732	5.20390e-07	1.11617e-04	44106	1836547	-63661240.406	-62104704.213
run41	7469	72411	533072	5.68277e-07	1.10377e-04	45672	1630257	-63663976.760	-62104704.213
run42	32402	6650	215359	3.81226e-04	5.78702e-05	3170	100001	-63223112.744	-62104704.213
run43	6824	67545	525218	6.05820e-07	1.16975e-04	43594	1780028	-63668082.283	-62104704.213
run44	34028	6716	215602	3.52000e-04	5.82820e-05	3238	103821	-63224461.209	-62104704.213
run45	35258	9132	469439	2.64745e-04	4.65459e-05	4298	103764	-63264293.766	-62104704.213
run46	7256	76920	561918	5.46895e-07	1.06983e-04	47656	1771415	-63670520.969	-62104704.213
run47	33308	8946	457655	2.73547e-04	4.53808e-05	4187	102043	-63262635.227	-62104704.213
run48	6190	66578	569895	6.07881e-07	1.20387e-04	42603	1840210	-63661859.775	-62104704.213
run49	7620	71794	584474	5.27276e-07	1.06241e-04	46615	1968560	-63664523.097	-62104704.213
run50	35470	7839	444041	3.31490e-04	4.97081e-05	3688	99187	-63246200.633	-62104704.213
run51	6651	65084	511519	6.41271e-07	1.15192e-04	41689	1923897	-63664832.639	-62104704.213
run52	1019	292269	599433	3.49064e-04	0.0012615	20798	386088	-63886125.256	-62104704.213
run53	1059	268600	594175	3.14326e-04	0.0011367	22016	416559	-63896902.823	-62104704.213
run54	7347	76882	595720	3.76081e-07	1.04224e-04	48849	1942702	-63666183.177	-62104704.213
run55	7014	71559	647189	6.39704e-07	1.09795e-04	45146	1607030	-63660394.314	-62104704.213
run56	7252	72461	535428	5.84154e-07	1.02372e-04	46591	1876984	-63668660.041	-62104704.213
run57	7292	75234	609843	6.27824e-07	1.05175e-04	47424	1684709	-63665834.546	-62104704.213
run58	7179	63855	517573	6.54055e-07	1.15033e-04	43048	1970809	-63667978.808	-62104704.213
run59	31861	6513	462098	4.12191e-04	6.35675e-05	3061	98493	-63231965.084	-62104704.213
run60	6936	72101	628676	5.46167e-07	1.06494e-04	46746	1816775	-63659205.462	-62104704.213
run61	7664	73618	633607	5.81726e-07	1.04406e-04	48129	1737206	-63662747.827	-62104704.213
run62	7411	75466	572109	4.20886e-07	1.03963e-04	49060	1949841	-63667543.741	-62104704.213
run63	34413	6607	210508	3.74347e-04	5.48980e-05	3224	97450	-63222720.557	-62104704.213
run64	7350	71648	536296	4.94326e-07	1.09620e-04	46382	1901976	-63666765.404	-62104704.213
run65	35882	8916	246194	2.65116e-04	4.36750e-05	4316	98085	-63245677.527	-62104704.213
run66	33607	6803	202767	3.72664e-04	5.40219e-05	3182	101798	-63213549.785	-62104704.213
run67	1021	461308	527952	3.41063e-04	0.0011545	20639	369570	-63889370.541	-62104704.213
run68	7167	73515	578722	5.11328e-07	1.04302e-04	46573	1915365	-63662017.908	-62104704.213
run69	6951	70056	579565	5.15321e-07	1.08230e-04	45295	1796009	-63663902.178	-62104704.213
run70	33846	7038	430750	3.91535e-04	5.68854e-05	3267	92347	-63237488.345	-62104704.213
run71	6795	66961	568225	7.90327e-07	1.14868e-04	43470	1683451	-63665763.947	-62104704.213
run72	33433	6837	1076051	3.71733e-04	5.76808e-05	3206	97449	-63245171.109	-62104704.213
run73	7698	72400	624522	5.10611e-07	1.00871e-04	48315	1824783	-63664102.113	-62104704.213
run74	6480	66854	595636	5.18397e-07	1.21754e-04	42470	1877458	-63665611.331	-62104704.213
run75	30144	6115	506790	4.21025e-04	6.64788e-05	2835	88957	-63228784.011	-62104704.213
run76	34962	8617	209167	2.65808e-04	4.50542e-05	4282	105310	-63238412.985	-62104704.213
run77	30551	6096	204136	4.10908e-04	6.53914e-05	2758	102810	-63217156.208	-62104704.213
run78	7164	64635	575382	6.98217e-07	1.13116e-04	43215	1813053	-63667232.004	-62104704.213
run79	7071	74307	537231	5.60063e-07	1.02523e-04	47523	1603255	-63669447.441	-62104704.213
run80	6771	70102	617011	5.55430e-07	1.07492e-04	44396	1710780	-63664869.947	-62104704.213
run81	6755	72667	529744	5.78207e-07	1.06484e-04	46012	1850086	-63669681.508	-62104704.213
run82	33136	8726	202655	2.70468e-04	4.62052e-05	4291	106401	-63238316.097	-62104704.213
run83	6686	68463	570529	6.01989e-07	1.11160e-04	44458	1768396	-63665043.661	-62104704.213
run84	7350	74434	555991	4.46649e-07	9.98656e-05	47221	1962383	-63669969.539	-62104704.213
run85	7484	70891	590646	5.04539e-07	1.03863e-04	46912	1781977	-63663399.471	-62104704.213
run86	32677	7030	214892	3.81479e-04	6.10084e-05	3162	97492	-63215622.330	-62104704.213
run87	36370	8154	207781	2.85568e-04	4.89453e-05	3952	110256	-63238042.956	-62104704.213
run88	6929	74300	571392	4.58055e-07	1.08210e-04	44856	1914960	-63663830.244	-62104704.213
run89	7094	69920	571079	5.87660e-07	1.09702e-04	44672	1809691	-63661073.199	-62104704.213
run90	6359	70396	600766	5.48002e-07	1.14819e-04	43466	1845641	-63665290.585	-62104704.213
run91	32102	6093	209158	4.28347e-04	6.45232e-05	2874	92988	-63207098.445	-62104704.213
run92	6450	68954	502512	5.37465e-07	1.13250e-04	42686	1959590	-63669820.800	-62104704.213
run93	7449	67859	563212	5.89909e-07	1.12155e-04	44971	1720720	-63666595.107	-62104704.213
run94	7315	73991	552919	5.10464e-07	1.06184e-04	48069	1852643	-63667327.717	-62104704.213
run95	8093	72524	600949	5.24198e-07	1.01300e-04	48234	1831584	-63662997.691	-62104704.213
run96	7189	70312	540312	5.35727e-07	1.12025e-04	45316	1958531	-63665603.353	-62104704.213
run97	33901	8653	204385	3.15970e-04	5.23306e-05	3955	103716	-63229012.495	-62104704.213
run98	8245	74484	535040	5.77223e-07	9.65129e-05	49692	1564401	-63674219.957	-62104704.213
run99	7033	68153	614188	5.70552e-07	1.17418e-04	44556	1877084	-63661363.947	-62104704.213
run100	7869	72403	614270	6.91978e-07	1.01598e-04	48957	1694856	-63665998.470	-62104704.213
