Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV12	DIV02	MaxEstLhood	MaxObsLhood
run1	6591	71209	614757	5.93241e-07	1.11399e-04	45317	1964388	-63659979.222	-62104704.213
run2	7562	71825	614429	6.55089e-07	1.04910e-04	47118	1947842	-63663197.121	-62104704.213
run3	33693	8970	206866	3.12787e-04	4.71964e-05	3978	100249	-63237835.255	-62104704.213
run4	6960	73231	713236	5.25968e-07	1.07240e-04	47523	1960872	-63661999.687	-62104704.213
run5	7542	69409	602721	5.42648e-07	1.08509e-04	45768	1866345	-63664661.949	-62104704.213
run6	31177	7053	297648	3.59221e-04	5.96030e-05	3285	93719	-63228537.619	-62104704.213
run7	31128	8365	210900	3.06153e-04	5.16944e-05	3932	99819	-63234132.069	-62104704.213
run8	6893	68628	574726	6.28199e-07	1.18578e-04	42872	1927805	-63660082.672	-62104704.213
run9	7360	71941	581044	5.47623e-07	1.03408e-04	47072	1840208	-63666431.081	-62104704.213
run10	7136	71322	612632	5.59069e-07	1.04140e-04	47458	1922809	-63661581.375	-62104704.213
run11	1044	297604	617377	3.61771e-04	0.0012554	20373	411741	-63889415.417	-62104704.213
run12	7001	72688	595147	5.40984e-07	1.09227e-04	45307	1878740	-63660683.805	-62104704.213
run13	298315	8194	473993	1.87847e-04	1.48412e-04	38513	77410	-64850423.595	-62104704.213
run14	33227	7208	210040	3.41689e-04	5.49015e-05	3445	97035	-63220221.026	-62104704.213
run15	6020	64802	582037	6.86242e-07	1.18332e-04	42338	1868021	-63665096.356	-62104704.213
run16	7505	69635	607147	6.61185e-07	1.06807e-04	45004	1651569	-63663551.721	-62104704.213
run17	7235	72793	619897	6.67534e-07	1.01136e-04	48103	1796501	-63664813.959	-62104704.213
run18	32896	6977	204317	3.61306e-04	5.60397e-05	3252	94427	-63216255.327	-62104704.213
run19	35351	8851	209298	2.72937e-04	4.51469e-05	4194	108711	-63240639.770	-62104704.213
run20	7065	67914	608118	7.03042e-07	1.03337e-04	44778	1781704	-63666593.999	-62104704.213
run21	7356	71166	552176	6.48598e-07	1.07030e-04	46598	1735445	-63667954.226	-62104704.213
run22	6992	72552	580281	5.01093e-07	1.08096e-04	45948	1818218	-63661056.737	-62104704.213
run23	35578	8900	207827	2.94041e-04	4.87330e-05	4161	101917	-63233199.674	-62104704.213
run24	1032	405247	642247	4.09144e-04	0.0013324	18198	332232	-63888173.509	-62104704.213
run25	7219	70558	678866	5.97031e-07	1.10062e-04	45670	1885439	-63661946.366	-62104704.213
run26	33148	6369	1787945	4.11388e-04	6.54315e-05	3020	98721	-63252931.907	-62104704.213
run27	7649	74948	570746	5.39219e-07	1.07596e-04	47523	1851334	-63665995.344	-62104704.213
run28	39329	11694	267475	2.10673e-04	3.40475e-05	5779	109259	-63285287.651	-62104704.213
run29	35093	7772	416210	3.38630e-04	5.11737e-05	3445	104852	-63245425.712	-62104704.213
run30	7086	66537	500982	6.60849e-07	1.09514e-04	44615	1639815	-63672930.692	-62104704.213
run31	6895	70709	534773	5.81281e-07	1.09246e-04	46322	1849337	-63665713.596	-62104704.213
run32	33097	8306	211954	3.08704e-04	5.34174e-05	3847	107346	-63234282.881	-62104704.213
run33	7183	70866	607487	6.02115e-07	1.09117e-04	46422	1814800	-63661139.917	-62104704.213
run34	6530	66215	605057	6.28163e-07	1.17841e-04	44108	1908364	-63659739.311	-62104704.213
run35	358867	3870	310172	4.21817e-04	2.47220e-04	26419	74228	-64795345.031	-62104704.213
run36	7179	70796	754853	6.80612e-07	1.07058e-04	46618	1974103	-63655172.309	-62104704.213
run37	6712	66608	521500	5.48594e-07	1.17756e-04	42561	1835536	-63669044.993	-62104704.213
run38	32245	8371	215883	3.15034e-04	5.67994e-05	3752	106397	-63230398.097	-62104704.213
run39	553363	2549	252262	6.05064e-04	2.76119e-04	24718	74078	-64779849.838	-62104704.213
