Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV12	DIV02	MaxEstLhood	MaxObsLhood
run49	10657	15742	499992	1.02750e-04	1.33261e-05	2.54571e-05	1.25519e-05	158612	1892119	-63349554.970	-62104704.213
run50	5953	30325	484039	1.42681e-04	4.10124e-05	4.10069e-05	6.59173e-07	132626	1480711	-63346876.445	-62104704.213
run51	26026	2796	410032	5.11995e-04	3.33712e-05	1.98475e-05	1.30187e-04	3124	85521	-63116326.768	-62104704.213
run52	8150	30981	526326	1.13782e-04	3.11408e-05	3.05426e-05	7.68127e-07	176764	1837778	-63353508.138	-62104704.213
run53	25810	3117	230475	5.85718e-04	4.70302e-05	1.70475e-05	9.30583e-05	2539	81859	-63108371.373	-62104704.213
run54	11127	18094	494250	9.71243e-05	1.79822e-05	2.24021e-05	1.11645e-05	167405	851396	-63340829.068	-62104704.213
run55	11969	15242	535071	1.09334e-04	1.56636e-05	2.08854e-05	1.27860e-05	163414	779783	-63347276.007	-62104704.213
run56	8971	23019	523582	1.05272e-04	2.55251e-05	2.68440e-05	7.03595e-06	156216	1110959	-63350915.586	-62104704.213
run57	8676	40869	523303	9.68176e-07	6.96380e-05	1.20459e-05	7.86379e-06	66499	1918375	-63359051.567	-62104704.213
run58	27951	2974	412335	5.05646e-04	4.03972e-05	1.43850e-05	1.16537e-04	2884	85246	-63119791.816	-62104704.213
run59	11006	17793	466588	1.00433e-04	1.87137e-05	2.14337e-05	1.27501e-05	169603	1110322	-63352777.003	-62104704.213
run60	11141	29241	450363	8.09825e-05	3.24814e-05	1.85300e-05	6.12188e-06	128124	145191	-63479160.671	-62104704.213
run61	8659	22704	495035	1.22049e-04	2.55713e-05	3.02632e-05	6.28704e-06	152624	1215056	-63344073.867	-62104704.213
run62	5753	28132	514181	1.25295e-04	4.36629e-05	4.03023e-05	1.14962e-06	137563	1851777	-63341901.239	-62104704.213
run63	15897	1516	515831	8.69143e-04	5.71038e-06	1.51092e-05	2.58704e-04	185818	511757	-63395048.059	-62104704.213
run64	14624	2003	515319	5.26053e-04	1.80117e-05	1.35908e-05	1.80361e-04	177897	446555	-63388348.862	-62104704.213
run65	9578	23364	486854	9.67642e-05	2.36150e-05	2.68237e-05	5.50656e-06	159277	830599	-63345313.072	-62104704.213
run66	8070	22078	504307	1.12853e-04	2.39616e-05	3.25453e-05	5.10807e-06	142776	1338835	-63342229.790	-62104704.213
run67	26431	1836	208869	8.02245e-04	7.74986e-05	8.30894e-06	2.07052e-04	2230	94377	-63109995.451	-62104704.213
run68	10505	39411	542230	1.06120e-06	5.99068e-05	9.14755e-06	8.13840e-06	77692	1892110	-63358232.272	-62104704.213
run69	9118	27047	477439	9.82456e-05	2.18531e-05	2.59514e-05	4.33989e-06	160396	806660	-63341406.668	-62104704.213
run70	24350	4042	453713	4.39850e-04	4.49461e-05	1.39784e-05	6.96011e-05	3271	88663	-63121012.940	-62104704.213
run71	8272	31930	507533	1.14384e-04	2.22561e-05	3.28194e-05	8.24717e-08	150698	1626241	-63351653.383	-62104704.213
run72	8840	38722	560065	1.20609e-06	6.98179e-05	1.26025e-05	7.79256e-06	65736	1727846	-63355772.369	-62104704.213
run73	26363	2386	203564	6.31866e-04	7.17372e-05	7.12641e-06	1.58406e-04	2659	84661	-63106323.642	-62104704.213
run74	12354	20835	444212	1.01224e-04	1.15340e-05	2.24345e-05	9.71794e-06	158268	637930	-63354687.271	-62104704.213
run75	10213	14683	508278	1.05070e-04	1.58137e-05	2.22281e-05	1.68207e-05	162946	1583211	-63344908.080	-62104704.213
run76	26324	5273	202678	3.37813e-04	2.38763e-05	1.94799e-05	4.85558e-05	4132	97502	-63114017.752	-62104704.213
run77	14022	1969	474845	5.46835e-04	6.80388e-06	1.69259e-05	1.96009e-04	167223	463271	-63397472.563	-62104704.213
run78	10271	10563	494351	1.15692e-04	1.82123e-05	2.37646e-05	2.52493e-05	134719	1423957	-63355840.277	-62104704.213
run79	8707	39726	559388	1.05289e-06	6.04135e-05	1.14500e-05	8.51666e-06	71084	1871827	-63353445.390	-62104704.213
run80	11938	24980	478018	1.03867e-04	1.53081e-05	2.05846e-05	6.43306e-06	48069	175421	-63462719.280	-62104704.213
run81	6648	28032	505532	1.43960e-04	3.21107e-05	3.72929e-05	2.57345e-06	120937	942203	-63348448.598	-62104704.213
run82	28568	3004	213987	5.14929e-04	5.32973e-05	1.09192e-05	1.03222e-04	2878	90051	-63106280.986	-62104704.213
run83	6777	28270	523285	1.41758e-04	3.21515e-05	3.69021e-05	1.86686e-06	131803	1409737	-63353243.776	-62104704.213
run84	9519	15459	514796	1.08487e-04	1.72966e-05	2.71040e-05	1.42772e-05	138467	1076891	-63348595.525	-62104704.213
run85	9521	21397	476899	1.25257e-04	2.32738e-05	2.75304e-05	7.30318e-06	153594	1483105	-63345376.152	-62104704.213
run86	10177	10697	533851	1.26692e-04	2.00025e-05	2.34085e-05	2.47523e-05	159603	1706473	-63347036.488	-62104704.213
run87	11535	24985	511328	1.05704e-04	1.71114e-05	2.22483e-05	4.49566e-06	155895	609325	-63350999.815	-62104704.213
run88	27231	4765	450970	3.68755e-04	1.81859e-05	2.06423e-05	5.69762e-05	4087	90963	-63127891.429	-62104704.213
run89	8879	26146	501811	1.16119e-04	1.99985e-05	3.05735e-05	2.03840e-06	152961	1727252	-63350370.307	-62104704.213
run90	9370	21817	517974	1.11395e-04	1.52980e-05	3.03732e-05	5.16265e-06	139712	843980	-63349839.035	-62104704.213
run91	12743	11383	542041	9.91264e-05	1.30805e-05	1.94714e-05	2.22514e-05	150495	745392	-63355323.716	-62104704.213
run92	24802	8406	209339	2.24751e-04	1.01244e-05	1.78585e-05	2.49912e-05	6177	95320	-63152108.400	-62104704.213
run93	21700	2924	243657	5.78895e-04	3.88629e-05	2.70730e-05	9.94907e-05	2651	85609	-63114738.415	-62104704.213
run94	29586	10244	206973	2.14030e-04	1.04235e-05	1.68512e-05	7.76946e-06	6008	101265	-63158132.709	-62104704.213
run95	7493	31457	524206	1.10336e-04	3.18002e-05	3.27886e-05	1.92601e-06	162832	1750452	-63350549.539	-62104704.213
run96	25362	3669	326212	4.60307e-04	3.70411e-05	1.53653e-05	8.60228e-05	3425	93756	-63114595.851	-62104704.213
run97	8267	13852	526533	1.37789e-04	1.64084e-05	3.12653e-05	1.51487e-05	136255	1926516	-63346067.605	-62104704.213
run98	4477	21944	390075	2.00417e-04	3.45948e-05	5.43050e-05	3.84595e-07	23214	182027	-63465599.451	-62104704.213
run99	4535	24387	445338	1.59505e-04	5.57032e-05	5.05816e-05	2.36266e-07	35438	273373	-63460046.939	-62104704.213
run100	26762	2378	212220	6.26884e-04	7.02886e-05	8.26527e-06	1.53220e-04	2513	91065	-63106199.480	-62104704.213
