Run	N_CMC	N_CME	N_CMS	DIV02	DIV12	MaxEstLhood	MaxObsLhood
run1	42706	53987	300107	28453	28987	-64821539.277	-62104704.213
run2	43484	54460	418029	29302	30036	-64824225.721	-62104704.213
run3	42340	56467	370321	28625	29424	-64825520.641	-62104704.213
run4	40624	53096	371364	27210	27512	-64819392.616	-62104704.213
run5	40258	55198	347000	27213	29139	-64820489.782	-62104704.213
run6	40686	53307	332838	26979	29057	-64822088.707	-62104704.213
run7	44121	55347	323947	29493	29813	-64821957.639	-62104704.213
run8	41318	54876	379440	27106	28027	-64825217.100	-62104704.213
run9	45064	58183	395208	30082	30673	-64821529.533	-62104704.213
run10	41222	53199	379953	28222	28599	-64821778.968	-62104704.213
run11	41011	49774	427715	27368	27830	-64826503.951	-62104704.213
run12	41854	55669	391693	27946	29160	-64823431.891	-62104704.213
run13	42690	57672	361678	28703	29197	-64820377.158	-62104704.213
run14	41788	54949	348283	27576	28823	-64819929.521	-62104704.213
run15	39913	53589	380197	27615	28251	-64820604.315	-62104704.213
run16	41508	51728	304492	27005	27332	-64820091.045	-62104704.213
run17	42575	51485	379201	27060	27445	-64821496.219	-62104704.213
run18	41885	54436	394912	28070	28611	-64823617.291	-62104704.213
run19	44083	58065	362833	29728	30960	-64820995.303	-62104704.213
run20	41707	52411	341391	27340	28527	-64819390.755	-62104704.213
run21	36945	46755	350189	24854	25588	-64823423.664	-62104704.213
run22	43721	53997	407262	28693	28987	-64826173.572	-62104704.213
run23	42527	56443	404002	29203	30124	-64820967.681	-62104704.213
run24	37374	49346	277089	25034	25729	-64825958.468	-62104704.213
run25	39904	57102	366926	27180	29673	-64822542.018	-62104704.213
run26	43478	57494	433690	29027	30702	-64828351.338	-62104704.213
run27	43252	58706	384199	29372	30164	-64822928.642	-62104704.213
run28	40250	52629	301399	26700	27611	-64822615.093	-62104704.213
run29	41855	51578	400291	28134	28592	-64821405.581	-62104704.213
run30	41415	56417	468746	29351	30242	-64829842.225	-62104704.213
run31	40524	53339	303385	27992	28360	-64822740.576	-62104704.213
run32	37762	46425	300558	24318	25095	-64822105.677	-62104704.213
run33	41709	53859	325600	27926	28452	-64818693.018	-62104704.213
run34	40669	52779	404771	27111	27604	-64822475.335	-62104704.213
run35	38425	49455	360052	26118	26604	-64820205.224	-62104704.213
run36	40658	52907	343642	27580	27926	-64819014.976	-62104704.213
run37	43928	55472	410520	29294	29940	-64824990.252	-62104704.213
run38	42868	55724	388720	28485	28807	-64819129.526	-62104704.213
run39	46087	57738	351311	29068	29602	-64822468.997	-62104704.213
run40	42774	51904	347538	28168	28581	-64819773.332	-62104704.213
run41	41568	54619	347700	28144	28793	-64820596.892	-62104704.213
run42	43443	57182	394501	29196	30189	-64823051.371	-62104704.213
run43	39802	50376	295359	26617	27306	-64823349.479	-62104704.213
run44	39533	50884	302031	26416	26823	-64819985.723	-62104704.213
run45	42987	56146	335474	28365	28934	-64822320.590	-62104704.213
run46	42091	53496	313187	27790	28244	-64823420.427	-62104704.213
run47	42295	53403	328573	27537	28120	-64821602.113	-62104704.213
run48	42330	51932	349484	27677	28209	-64822727.056	-62104704.213
run49	40937	56681	356641	28118	29683	-64823156.815	-62104704.213
