Run	N_CMC	N_CME	N_CMS	DIV02	DIV12	MaxEstLhood	MaxObsLhood
run50	39392	51797	288328	25927	26525	-64825198.823	-62104704.213
run51	43331	53354	317894	27919	28567	-64820795.878	-62104704.213
run52	40938	50741	334014	27624	27960	-64816367.418	-62104704.213
run53	39165	52886	430354	26103	27996	-64825479.643	-62104704.213
run54	42477	52685	406026	28538	28895	-64818188.789	-62104704.213
run55	42592	52619	370136	28510	29255	-64821760.352	-62104704.213
run56	41929	55346	346315	28154	28864	-64816872.701	-62104704.213
run57	40646	55091	371351	27880	30062	-64819949.920	-62104704.213
run58	41740	54593	349802	28180	28722	-64818927.093	-62104704.213
run59	42275	54521	347690	27735	28612	-64822717.044	-62104704.213
run60	41472	50546	343740	26763	27821	-64821965.308	-62104704.213
run61	44400	58689	338976	29516	29962	-64822668.116	-62104704.213
run62	41033	55231	428435	29311	29626	-64823304.790	-62104704.213
run63	41215	51487	344981	26875	27521	-64818085.347	-62104704.213
run64	41269	56377	319254	28163	29116	-64822740.734	-62104704.213
run65	45074	55324	438405	28858	29490	-64831870.941	-62104704.213
run66	41999	53890	372585	27825	28359	-64819222.768	-62104704.213
run67	39880	50747	363038	26106	26507	-64821394.722	-62104704.213
run68	42122	56395	366255	28652	29193	-64821335.120	-62104704.213
run69	40835	50248	397153	26495	26987	-64820842.447	-62104704.213
run70	43534	55905	427361	30025	30465	-64825703.017	-62104704.213
run71	42772	53754	358305	27385	27902	-64823400.414	-62104704.213
run72	38814	51298	306799	25435	27131	-64823872.348	-62104704.213
run73	44271	58240	381111	30125	30671	-64824824.541	-62104704.213
run74	42282	55552	356927	28071	28941	-64821257.936	-62104704.213
run75	40632	53493	352041	27067	27667	-64819393.350	-62104704.213
run76	43290	54596	437985	28209	29201	-64822912.392	-62104704.213
run77	39706	49850	278876	26609	27306	-64825798.457	-62104704.213
run78	43428	56539	322532	27849	28523	-64820086.595	-62104704.213
run79	46799	57777	375652	31440	32052	-64826919.419	-62104704.213
run80	39062	51368	363816	26740	27863	-64821937.453	-62104704.213
run81	40565	54357	334306	27433	29535	-64820537.624	-62104704.213
run82	41263	54529	417145	28404	29419	-64824532.249	-62104704.213
run83	41224	53296	371554	28350	29074	-64820604.338	-62104704.213
run84	39488	51116	373695	26486	27513	-64822683.422	-62104704.213
run85	41153	52270	436193	28070	28453	-64828112.104	-62104704.213
run86	40046	53511	354747	26090	26903	-64822158.820	-62104704.213
run87	44548	54541	376869	29681	30053	-64820991.758	-62104704.213
run88	41688	54825	385935	28496	29269	-64820049.247	-62104704.213
run89	41776	54260	425192	28829	29497	-64826748.338	-62104704.213
run90	43727	54125	394233	28140	28665	-64823408.628	-62104704.213
run91	40421	51109	347033	27694	28525	-64821696.047	-62104704.213
run92	42933	56341	376652	28679	30212	-64821543.719	-62104704.213
run93	41253	52025	324472	26607	27311	-64822033.438	-62104704.213
run94	42130	54406	332047	27075	28044	-64820811.144	-62104704.213
run95	39755	51898	469198	27633	27992	-64828329.029	-62104704.213
run96	38923	50639	399116	26062	26921	-64821107.943	-62104704.213
run97	39205	48198	314815	25884	26409	-64818155.261	-62104704.213
run98	45383	59284	327822	30087	30645	-64823918.054	-62104704.213
run99	43381	53694	389197	27641	28033	-64821401.125	-62104704.213
run100	44098	57107	370694	28577	30600	-64820745.681	-62104704.213
