Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV02	DIV12	MaxEstLhood	MaxObsLhood
run77	38396	21380	652836	1.00091e-04	5.93962e-06	36765	747011	-63830661.138	-62104704.213
run78	33486	52435	413187	1.57307e-05	1.35981e-05	51584	53117	-64046686.672	-62104704.213
run79	35998	22034	768250	9.74612e-05	7.08604e-06	36542	740289	-63825351.202	-62104704.213
run80	26232	56662	435764	9.83101e-06	1.69204e-05	45913	49625	-64045641.989	-62104704.213
run81	25389	61170	364813	8.08350e-06	2.00765e-05	48106	48760	-64043406.353	-62104704.213
run82	35962	19614	663117	1.04310e-04	5.48076e-06	33990	674923	-63834082.512	-62104704.213
run83	39745	19963	834109	9.62861e-05	4.89376e-06	37596	754779	-63831293.820	-62104704.213
run84	37679	20313	753049	1.01844e-04	5.50587e-06	35972	767727	-63830588.406	-62104704.213
run85	37491	19831	731796	1.01559e-04	5.65326e-06	36801	771541	-63830805.082	-62104704.213
run86	39136	22014	746959	8.48636e-05	5.67629e-06	37464	704193	-63831301.943	-62104704.213
run87	37301	21917	896175	1.00090e-04	5.74122e-06	36614	814482	-63828423.446	-62104704.213
run88	41522	21041	621348	8.88924e-05	4.85627e-06	39489	747037	-63837633.094	-62104704.213
run89	36902	20914	990285	9.39684e-05	6.55864e-06	36485	716301	-63825298.659	-62104704.213
run90	1297	421771	295186	5.00802e-04	9.57831e-04	10200	106441	-64028812.948	-62104704.213
run91	37710	20516	786266	1.02735e-04	6.19772e-06	34717	722879	-63827992.080	-62104704.213
run92	33635	22690	627541	1.00981e-04	7.75817e-06	33279	677253	-63832953.493	-62104704.213
run93	25239	63779	434579	7.25435e-06	1.93195e-05	49112	50100	-64045508.170	-62104704.213
run94	33350	52271	399491	2.07345e-05	1.38227e-05	49590	51727	-64046380.397	-62104704.213
run95	28056	64507	457135	6.97940e-06	1.70610e-05	52024	52852	-64044512.528	-62104704.213
run96	35167	20775	663071	9.94939e-05	6.16974e-06	34373	641412	-63832697.729	-62104704.213
run97	1185	502383	420496	5.11655e-04	0.0010461	10249	105172	-64016837.523	-62104704.213
run98	3946	267980	441237	2.83479e-04	3.07564e-04	16637	119722	-64093602.884	-62104704.213
run99	21721	67017	338312	5.05797e-06	2.43186e-05	47366	49589	-64054371.585	-62104704.213
run100	1220	597516	244459	5.20027e-04	0.0010578	10738	97538	-64030208.846	-62104704.213
