Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV02	DIV12	MaxEstLhood	MaxObsLhood
run90	7075	18056	499164	2.23426e-07	9.17631e-05	1.35410e-05	2.38175e-05	163659	1646351	-63419322.385	-62104704.213
run91	2643	15074	215884	2.72580e-04	1.04487e-04	8.12184e-05	6.65800e-07	11727	229137	-63506169.793	-62104704.213
run92	8172	20399	471742	3.90772e-07	7.37731e-05	1.14713e-05	1.97673e-05	188528	1740928	-63425729.076	-62104704.213
run93	7569	25389	495587	9.89105e-05	2.96818e-05	3.01785e-05	3.37530e-06	133461	1811951	-63344845.618	-62104704.213
run94	6734	28063	516495	9.79844e-05	4.30182e-05	3.44112e-05	2.20191e-06	136415	1718150	-63355101.934	-62104704.213
run95	7694	21470	475313	1.98519e-08	7.41442e-05	1.35711e-05	1.95890e-05	185328	1609532	-63424409.784	-62104704.213
run96	29719	3002	562574	3.51192e-04	1.68722e-05	3.98422e-06	1.20776e-04	94804	1398718	-63398853.683	-62104704.213
run97	9353	21290	498798	1.01435e-04	3.21957e-05	2.43706e-05	8.38667e-06	135995	1675334	-63351414.622	-62104704.213
run98	24014	15841	487492	8.89726e-05	1.93625e-06	1.04269e-05	1.40101e-05	59983	1763544	-63302313.006	-62104704.213
run99	6533	14497	463683	2.31691e-04	4.26984e-05	3.25957e-05	8.79998e-06	19095	679547	-63429468.079	-62104704.213
run100	30343	17536	516946	6.31678e-05	1.50227e-06	7.73162e-06	1.36650e-05	76470	1779233	-63303415.591	-62104704.213
