Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV02	DIV12	MaxEstLhood	MaxObsLhood
run1	27395	1455	540923	8.17287e-04	2.67796e-05	2.83086e-06	2.71605e-04	100030	1860305	-63400016.966	-62104704.213
run2	9325	19397	525307	1.14598e-04	3.30219e-05	2.57369e-05	9.32726e-06	130592	1521147	-63350859.639	-62104704.213
run3	6593	33283	523283	1.18208e-04	3.84024e-05	3.56768e-05	5.69248e-07	124057	1675054	-63354774.564	-62104704.213
run4	28000	17805	525719	7.30486e-05	1.77901e-06	8.19527e-06	1.17300e-05	65902	1455654	-63301399.361	-62104704.213
run5	10480	17941	487523	1.01836e-04	2.83316e-05	2.11444e-05	9.25022e-06	144105	1665206	-63350382.800	-62104704.213
run6	29761	18036	537179	7.20956e-05	1.81507e-06	7.28523e-06	1.21713e-05	67452	1790515	-63298331.169	-62104704.213
run7	12598	15841	513703	8.10938e-05	1.69810e-05	1.81692e-05	1.57659e-05	117243	1547424	-63351066.617	-62104704.213
run8	9836	23260	508677	9.54410e-05	2.36831e-05	2.31748e-05	7.92634e-06	136282	1635717	-63347009.019	-62104704.213
run9	10213	24262	526351	1.05858e-04	2.19255e-05	2.39413e-05	6.64121e-06	125729	1834799	-63341579.260	-62104704.213
run10	30119	16234	561393	7.65351e-05	1.83221e-06	7.28701e-06	1.47129e-05	67645	1784498	-63298765.118	-62104704.213
run11	4333	30259	582120	1.58215e-04	7.70123e-05	5.23346e-05	1.48846e-07	106660	1879348	-63357366.292	-62104704.213
run12	26860	17593	517324	7.57674e-05	1.76314e-06	8.74580e-06	1.18042e-05	65890	1651161	-63299945.355	-62104704.213
run13	22490	22329	504325	7.78601e-05	3.29469e-06	1.04601e-05	9.47669e-06	69387	1816639	-63311697.979	-62104704.213
run14	24679	18566	492823	7.38147e-05	2.18684e-06	9.93579e-06	1.13059e-05	65580	1616503	-63299775.828	-62104704.213
run15	10109	23680	513187	8.92159e-05	2.74411e-05	2.31890e-05	5.60439e-06	145794	1728604	-63348627.934	-62104704.213
run16	8541	22423	493580	2.87607e-07	7.26578e-05	1.21169e-05	1.85582e-05	172767	661351	-63424614.110	-62104704.213
run17	8615	20997	469361	1.10283e-06	5.90303e-05	1.18323e-05	1.97680e-05	194803	1489218	-63430325.329	-62104704.213
run18	24722	14759	527394	8.37611e-05	1.97348e-06	9.51219e-06	1.80643e-05	59268	1612476	-63304259.519	-62104704.213
run19	25665	19276	567877	6.86742e-05	2.22065e-06	9.34697e-06	1.15395e-05	68743	1857608	-63295062.050	-62104704.213
run20	7764	19604	487137	2.33858e-07	7.74635e-05	1.22904e-05	2.18420e-05	179909	1660801	-63423691.335	-62104704.213
run21	27281	18278	570581	7.61621e-05	1.61401e-06	8.32985e-06	1.17366e-05	62494	1514000	-63294557.104	-62104704.213
run22	6915	32631	519731	1.16544e-04	4.18057e-05	3.45063e-05	1.74357e-06	124695	1300256	-63352573.304	-62104704.213
run23	7690	27068	546328	1.02392e-04	2.82679e-05	3.02695e-05	2.86240e-06	131906	1778639	-63354321.972	-62104704.213
run24	30292	1716	546418	7.23978e-04	2.10771e-05	3.18721e-06	2.16867e-04	100872	1687848	-63393716.107	-62104704.213
run25	28560	19897	491426	7.89717e-05	1.69358e-06	8.68097e-06	1.11089e-05	65561	1749898	-63301618.094	-62104704.213
run26	24538	17846	538869	8.00847e-05	2.00841e-06	1.00455e-05	1.23243e-05	62350	1564916	-63297972.101	-62104704.213
run27	24771	2183	516382	5.17545e-04	1.99445e-05	5.27792e-06	1.71800e-04	102916	1506154	-63393762.758	-62104704.213
run28	8603	20002	488946	9.27069e-07	7.11279e-05	1.11766e-05	2.06146e-05	190532	1911226	-63425281.633	-62104704.213
run29	9052	26741	479906	9.46603e-05	3.56233e-05	2.57441e-05	3.61437e-06	165982	1598756	-63355819.054	-62104704.213
run30	28134	1965	500969	5.59140e-04	1.87516e-05	2.98537e-06	2.07999e-04	96078	1697944	-63406217.651	-62104704.213
run31	24748	7744	478566	1.71900e-04	9.59648e-06	8.46365e-06	4.05570e-05	116150	130365	-63462510.883	-62104704.213
run32	24569	2138	466682	6.03085e-04	2.75163e-06	1.01697e-05	1.79493e-04	134418	141802	-63465791.067	-62104704.213
run33	23259	13812	517347	6.36707e-05	4.92268e-06	1.02196e-05	1.77393e-05	63162	1285658	-63330020.794	-62104704.213
run34	9281	26816	513794	9.33788e-05	2.91627e-05	2.53965e-05	4.95131e-06	143026	1569744	-63349226.455	-62104704.213
run35	31639	3662	526369	3.17496e-04	1.27605e-05	4.21038e-06	1.07102e-04	109596	1607000	-63397528.783	-62104704.213
run36	25865	18605	524141	6.68316e-05	2.26650e-06	8.33745e-06	1.33886e-05	69711	1538326	-63299190.413	-62104704.213
run37	13312	13970	583856	1.06299e-04	1.79513e-05	1.79788e-05	1.85174e-05	107943	1494018	-63348974.980	-62104704.213
run38	7617	27767	524048	1.15266e-04	3.27098e-05	3.16325e-05	2.75858e-06	121287	1830991	-63349061.477	-62104704.213
run39	27160	18271	526106	7.76162e-05	1.89876e-06	8.77178e-06	1.37564e-05	64404	1779552	-63296845.155	-62104704.213
run40	29698	1430	465592	8.54237e-04	4.81482e-06	6.60732e-06	2.72354e-04	118463	121781	-63462386.230	-62104704.213
run41	29455	1966	535096	5.51435e-04	1.62346e-05	4.18048e-06	1.87338e-04	98673	1565416	-63398696.640	-62104704.213
run42	5763	31098	471914	1.06259e-04	4.37903e-05	3.92518e-05	1.21124e-07	143212	1833058	-63361011.555	-62104704.213
run43	31400	1151	495245	0.0010443	3.97382e-06	7.62741e-06	3.40387e-04	164120	287949	-63413600.091	-62104704.213
run44	8347	33467	516595	1.08952e-04	2.13355e-05	2.83888e-05	9.87966e-07	132061	1742485	-63355762.824	-62104704.213
run45	25240	14592	512685	8.48242e-05	2.05548e-06	9.99652e-06	1.55334e-05	57806	1886452	-63302495.237	-62104704.213
run46	29504	19444	528719	6.45557e-05	1.73398e-06	7.87089e-06	1.25566e-05	75616	1511400	-63297867.608	-62104704.213
run47	23130	8293	485033	1.29286e-04	9.57397e-06	8.21211e-06	4.14304e-05	82851	1228786	-63383060.126	-62104704.213
run48	11814	22498	495781	8.05497e-05	1.63965e-05	2.15056e-05	7.24117e-06	128852	1523691	-63354073.156	-62104704.213
run49	28756	19488	506832	6.70129e-05	1.73205e-06	8.35281e-06	1.16091e-05	71883	1521260	-63295802.204	-62104704.213
run50	12466	20316	526888	8.60784e-05	2.04361e-05	1.88742e-05	1.07445e-05	135037	1834255	-63349174.133	-62104704.213
run51	7290	22300	498053	4.79369e-07	8.28428e-05	1.62822e-05	1.80895e-05	173257	613595	-63426913.170	-62104704.213
run52	28248	2294	495199	6.14876e-04	1.86753e-05	4.98813e-06	1.61296e-04	174859	309394	-63408290.363	-62104704.213
run53	8834	24193	520224	9.46201e-05	2.82461e-05	2.65446e-05	6.26130e-06	134252	1592179	-63343133.221	-62104704.213
run54	27949	17324	514880	6.77306e-05	1.93451e-06	8.26828e-06	1.43961e-05	72188	1764367	-63296716.399	-62104704.213
run55	24218	17989	561472	7.87755e-05	2.38539e-06	9.56400e-06	1.18406e-05	64769	1557703	-63298911.856	-62104704.213
run56	8319	27768	489434	1.11020e-04	2.52828e-05	2.89804e-05	4.17864e-06	126591	1564310	-63351257.093	-62104704.213
run57	7418	42169	460927	9.72103e-05	3.80833e-05	3.03774e-05	5.74508e-07	131475	151368	-63501091.468	-62104704.213
run58	6877	24622	531826	1.63302e-04	3.38061e-05	3.57186e-05	7.58328e-07	32481	674737	-63405346.243	-62104704.213
run59	24189	14569	619104	7.47980e-05	3.10682e-06	9.70062e-06	1.66316e-05	64404	1645284	-63298308.733	-62104704.213
run60	26651	17351	518975	7.62764e-05	1.74238e-06	9.66684e-06	1.22237e-05	65686	1894865	-63294825.672	-62104704.213
run61	13529	17779	526530	7.61716e-05	1.87506e-05	1.69211e-05	1.30392e-05	140813	1546794	-63354243.038	-62104704.213
run62	23515	3527	564651	3.74414e-04	2.13498e-05	5.63999e-06	1.14011e-04	92374	1739668	-63397064.805	-62104704.213
run63	6298	28737	522658	1.22053e-04	5.22208e-05	3.67340e-05	7.04900e-07	133117	1520335	-63352245.994	-62104704.213
run64	8395	25515	520013	1.03813e-04	3.19972e-05	2.88913e-05	5.35514e-06	137931	1854878	-63346077.403	-62104704.213
run65	6849	18973	457774	9.25802e-07	6.77985e-05	1.61475e-05	2.09030e-05	189424	1750877	-63422184.154	-62104704.213
run66	8080	33445	513276	1.02938e-04	2.97093e-05	2.93906e-05	2.56967e-06	144151	1844814	-63356652.943	-62104704.213
run67	27605	19547	584053	7.42652e-05	2.28463e-06	8.50188e-06	1.13140e-05	62523	1471271	-63297325.971	-62104704.213
run68	29822	15978	506457	6.51527e-05	2.05703e-06	7.91575e-06	1.50831e-05	72649	1660641	-63303772.715	-62104704.213
run69	9216	24685	509778	8.72405e-05	2.36870e-05	2.54610e-05	7.35845e-06	134553	1390052	-63343965.141	-62104704.213
run70	11942	20221	485206	8.88834e-05	1.18437e-05	2.12320e-05	9.03997e-06	119838	1612032	-63354324.830	-62104704.213
run71	27412	16722	506759	6.92580e-05	4.94655e-06	7.59345e-06	1.47870e-05	65146	1059470	-63319781.935	-62104704.213
run72	24172	18377	573271	8.00665e-05	6.02998e-06	8.46667e-06	1.11558e-05	55152	1150857	-63315857.776	-62104704.213
run73	9086	24951	502650	8.99617e-05	2.24424e-05	2.74281e-05	4.32542e-06	134582	1878081	-63348662.616	-62104704.213
run74	9139	23374	495374	9.76515e-05	2.78086e-05	2.71242e-05	5.72882e-06	119525	1605751	-63353335.338	-62104704.213
run75	24316	17866	492302	6.77404e-05	2.43357e-06	9.83067e-06	1.35350e-05	73394	1703737	-63301817.697	-62104704.213
run76	14958	19112	224199	5.11455e-07	1.69051e-04	1.72008e-06	2.26895e-05	17986	99210	-63568982.468	-62104704.213
run77	24275	13722	555248	8.84335e-05	2.37103e-06	8.78612e-06	1.79225e-05	58695	1894808	-63295391.799	-62104704.213
run78	27932	4493	549409	2.44651e-04	8.81829e-06	6.03174e-06	8.73520e-05	89861	1534086	-63399153.323	-62104704.213
run79	4567	18399	265931	1.94057e-04	5.24149e-05	4.99265e-05	5.92507e-07	16880	267964	-63491383.887	-62104704.213
run80	28594	18806	498604	6.54481e-05	1.82567e-06	9.02124e-06	1.26837e-05	75880	1766560	-63300849.014	-62104704.213
run81	23907	15098	461404	7.22632e-05	2.86556e-06	9.40127e-06	1.59449e-05	61007	1504792	-63311277.622	-62104704.213
run82	27038	15854	532473	7.59996e-05	1.89220e-06	8.53241e-06	1.47900e-05	66905	1883855	-63294548.228	-62104704.213
run83	28276	18024	486970	6.93555e-05	1.48347e-06	7.85795e-06	1.31436e-05	73301	1859204	-63297413.862	-62104704.213
run84	22327	15614	575220	8.08171e-05	3.85553e-06	1.01204e-05	1.45988e-05	56333	1443074	-63300998.272	-62104704.213
run85	20633	17690	547217	9.28229e-05	5.98495e-06	9.94785e-06	1.32726e-05	50368	1207550	-63314693.077	-62104704.213
run86	5952	37994	511354	1.16591e-04	4.64357e-05	3.48190e-05	1.09079e-07	141384	1666011	-63357337.159	-62104704.213
run87	27388	18164	571917	7.32640e-05	1.47425e-06	8.97293e-06	1.15415e-05	72527	1728104	-63297640.528	-62104704.213
run88	4902	30360	564869	1.38655e-04	6.31370e-05	4.50880e-05	5.52304e-07	110096	1632514	-63362339.062	-62104704.213
run89	32591	3497	506446	3.38784e-04	1.11014e-05	4.86396e-06	1.12039e-04	97960	1729004	-63397877.545	-62104704.213
