Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	SURF	HYBR	DIV02	MaxEstLhood	MaxObsLhood
run77	38065	13569	514805	7.18432e-05	6.93307e-05	0.4588693	3848	99042	-63248792.682	-62104704.213
run78	7114	51833	318419	5.02752e-07	9.47595e-05	0.9637657	33676	704557	-63799501.624	-62104704.213
run79	33296	18930	498616	1.79955e-05	7.83103e-05	0.3629621	4235	95343	-63258740.112	-62104704.213
run80	6399	51304	307497	1.82263e-07	1.11911e-04	0.9751314	31432	832894	-63793530.398	-62104704.213
run81	33059	13958	532747	2.67588e-05	8.58295e-05	0.4002815	3583	101232	-63245604.646	-62104704.213
run82	6267	53468	306166	1.15062e-07	1.05907e-04	0.9670500	32731	810323	-63795210.911	-62104704.213
run83	7488	62598	310969	1.13667e-07	8.93072e-05	0.9742770	37593	743780	-63801230.981	-62104704.213
run84	31532	10524	515559	1.47770e-04	8.01117e-05	0.5317404	3392	102630	-63235206.401	-62104704.213
run85	32840	12986	502931	9.19931e-05	7.58903e-05	0.4853293	3694	99585	-63244421.224	-62104704.213
run86	7245	53351	313701	4.41220e-07	9.73879e-05	0.9732310	33464	777857	-63797579.682	-62104704.213
run87	34932	13794	492166	7.67638e-05	7.14984e-05	0.4607284	3828	99767	-63247620.690	-62104704.213
run88	36457	9291	488327	1.84751e-04	8.01036e-05	0.5623300	3154	103311	-63233258.389	-62104704.213
run89	33740	11017	530383	1.13110e-04	9.70172e-05	0.4642960	3010	92196	-63234091.396	-62104704.213
run90	7245	56091	307530	2.92715e-07	9.54299e-05	0.9677253	35345	763985	-63795904.086	-62104704.213
run91	28969	3675	563265	6.73326e-04	1.14865e-04	0.8957934	1621	83980	-63222005.662	-62104704.213
run92	6390	51361	317040	8.09544e-07	1.05532e-04	0.9780364	31406	748827	-63793262.424	-62104704.213
run93	32431	17466	509670	5.36950e-06	8.50024e-05	0.3524320	4154	92100	-63254265.361	-62104704.213
run94	6662	51787	303612	3.36616e-07	1.05480e-04	0.9759103	31631	792557	-63795065.913	-62104704.213
run95	38474	18645	485717	1.09411e-07	7.27053e-05	0.3447607	4364	95006	-63263099.664	-62104704.213
run96	34378	11855	504000	1.38390e-04	7.24354e-05	0.5407141	3603	98101	-63238887.718	-62104704.213
run97	33072	8981	493465	2.05351e-04	7.79412e-05	0.6224224	3051	91395	-63234805.685	-62104704.213
run98	6389	55269	296584	2.72209e-07	1.03015e-04	0.9745727	34498	867335	-63796044.688	-62104704.213
run99	35058	15726	475857	4.32936e-05	7.28834e-05	0.4324547	4462	97830	-63261628.938	-62104704.213
run100	32425	12663	518368	5.56402e-05	9.88941e-05	0.4214552	3313	97805	-63239526.280	-62104704.213
