Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_G2C	MIG_G2E	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run62	15900	2544	456123	6.05913e-04	6.16396e-05	2.44109e-05	1.16591e-04	2312	59982	66654	-62992429.102	-62104704.213
run63	9047	8116	536404	2.06795e-04	2.54228e-05	2.49684e-05	3.74390e-05	38994	44851	67133	-63382320.890	-62104704.213
run64	16927	1443	481115	0.0010009	1.18064e-04	1.61117e-05	2.10430e-04	1420	49476	68064	-62975304.916	-62104704.213
run65	19619	2583	494580	6.18370e-04	6.58322e-05	1.92375e-05	1.10641e-04	2314	64470	66607	-63001197.255	-62104704.213
run66	6426	1107	610515	0.0011978	1.47199e-04	5.45252e-05	2.75013e-04	1232	65309	70324	-62982586.812	-62104704.213
run67	8942	1678	277294	0.0010802	5.42746e-05	6.80608e-05	1.21096e-04	1269	25914	70510	-63020183.657	-62104704.213
run68	16785	2070	426664	7.53400e-04	8.51955e-05	1.82085e-05	1.43043e-04	1893	55787	62548	-62986141.063	-62104704.213
run69	1502	1793	455336	0.0010368	1.46369e-04	1.67262e-04	1.83626e-04	26163	68941	71628	-63372801.290	-62104704.213
run70	11275	1145	345358	0.0013933	1.55882e-04	2.91020e-05	2.37310e-04	1020	31440	77708	-62965832.040	-62104704.213
run71	17551	3465	444123	5.43622e-04	4.88541e-05	2.66936e-05	7.67737e-05	2543	64203	66135	-63009568.302	-62104704.213
run72	6518	9702	454300	2.31576e-04	3.16660e-05	3.58121e-05	2.49176e-05	20890	30799	80757	-63385208.599	-62104704.213
run73	32806	22376	893399	1.22882e-04	9.40785e-07	1.13802e-06	2.14363e-07	31628	32676	636997	-63697748.816	-62104704.213
run74	7090	1310	567312	0.0010619	1.21224e-04	5.22764e-05	2.37071e-04	1391	64572	68612	-62981517.613	-62104704.213
run75	18181	1442	487849	0.0010544	1.27879e-04	7.09960e-06	2.29474e-04	1426	51513	64804	-62979140.858	-62104704.213
run76	15658	2180	467633	6.73761e-04	5.42603e-05	2.93264e-05	1.46436e-04	2150	53442	62850	-62991180.644	-62104704.213
run77	1161	5523	233786	6.98198e-04	2.23137e-04	1.97941e-04	2.81680e-05	6271	16929	80392	-63390239.599	-62104704.213
run78	17707	1540	442614	9.44700e-04	1.23297e-04	1.03065e-05	1.93276e-04	1463	50446	63819	-62977939.749	-62104704.213
run79	6780	1329	501718	0.0010385	1.25068e-04	5.25992e-05	2.16776e-04	1352	59939	72127	-62986311.846	-62104704.213
run80	20569	4118	506817	4.47034e-04	4.34420e-05	2.03082e-05	4.72542e-05	2958	66010	67820	-63024208.702	-62104704.213
run81	1974	3595	214703	6.65897e-04	8.94592e-05	1.25553e-04	5.85294e-05	6603	8875	86459	-63382497.203	-62104704.213
run82	10921	1095	322592	0.0015209	1.72231e-04	2.27520e-05	2.67401e-04	971	31157	75986	-62967980.757	-62104704.213
run83	1875	7982	401297	4.35754e-04	1.28966e-04	1.28267e-04	2.00923e-05	12817	21402	80337	-63382752.670	-62104704.213
run84	19344	2056	418262	7.25284e-04	6.43292e-05	2.23010e-05	1.50020e-04	2045	60890	62063	-62993479.326	-62104704.213
run85	17205	1409	564260	9.96933e-04	1.17835e-04	1.71695e-05	2.15927e-04	1497	59364	63582	-62978720.613	-62104704.213
