Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run1	1034	199518	1436195	6.94871e-04	0.0012158	8089	8251	103368	-63985817.292	-62104704.213
run2	21296	3458	504360	7.35779e-04	1.17250e-04	1683	63479	75030	-63095137.005	-62104704.213
run3	22124	3869	448999	6.22889e-04	1.08107e-04	1792	65468	67225	-63102059.182	-62104704.213
run4	39621	20818	678700	9.72248e-05	4.92243e-06	37197	38257	747499	-63838134.374	-62104704.213
run5	20882	3659	452110	6.80284e-04	1.20209e-04	1663	63511	65504	-63095756.830	-62104704.213
run6	21897	3548	464716	6.74025e-04	1.12802e-04	1661	61674	67115	-63099079.885	-62104704.213
run7	2165	212748	466471	3.79737e-04	5.53389e-04	13553	13770	110368	-64024270.148	-62104704.213
run8	20178	3162	424790	7.92987e-04	1.28707e-04	1483	56664	64849	-63088161.127	-62104704.213
run9	23117	5425	487959	4.75995e-04	8.74560e-05	2460	67448	68986	-63131698.829	-62104704.213
run10	17995	3438	476168	7.44499e-04	1.41097e-04	1579	61751	62578	-63095542.144	-62104704.213
run11	21727	3782	458177	6.73698e-04	1.18821e-04	1745	63796	70761	-63103104.616	-62104704.213
run12	20555	3154	458968	8.51153e-04	1.36439e-04	1400	58450	66407	-63089947.694	-62104704.213
run13	38356	21096	871783	8.95359e-05	5.42493e-06	37810	38253	706335	-63838787.209	-62104704.213
run14	20500	3582	540521	6.83943e-04	1.07014e-04	1703	61099	69626	-63093367.681	-62104704.213
run15	21120	3542	484152	7.22459e-04	1.23223e-04	1616	62297	64471	-63099928.834	-62104704.213
run16	22051	5838	462138	4.16706e-04	7.92521e-05	2719	69827	73701	-63140440.946	-62104704.213
run17	23450	4306	473977	6.33837e-04	9.89508e-05	1964	65452	71105	-63112600.869	-62104704.213
run18	1027	196971	260844	7.64248e-04	0.0012380	6930	7031	117698	-64002887.845	-62104704.213
run19	19130	3483	437570	7.28368e-04	1.21739e-04	1581	60357	67481	-63094261.875	-62104704.213
run20	343818	1695	383536	8.87294e-04	4.09869e-04	17950	20762	235600	-64635414.972	-62104704.213
run21	35258	20166	800471	9.84224e-05	6.83552e-06	33923	35270	625198	-63830152.443	-62104704.213
run22	2991	170009	592884	2.38948e-04	4.01160e-04	20297	20877	89648	-64053160.731	-62104704.213
run23	22322	4324	491811	6.31384e-04	1.04646e-04	1964	67826	68796	-63108387.812	-62104704.213
run24	2991	170009	592884	2.38948e-04	4.01160e-04	20297	20877	89648	-64053160.731	-62104704.213
run25	34646	21121	807250	9.53943e-05	6.84791e-06	35442	35961	659550	-63839214.448	-62104704.213
run26	18080	2642	456796	9.84875e-04	1.46599e-04	1244	51350	71343	-63081282.214	-62104704.213
run27	19173	3043	460779	7.94930e-04	1.34747e-04	1441	55915	64122	-63086818.858	-62104704.213
run28	1030	278478	246142	4.32576e-04	0.0011669	12837	15906	78374	-64048709.533	-62104704.213
run29	42841	21023	691201	9.30816e-05	5.09679e-06	38935	39972	675921	-63846988.523	-62104704.213
run30	17688	2895	444926	8.71219e-04	1.42804e-04	1350	56187	69823	-63089681.014	-62104704.213
run31	26733	7031	479175	3.75827e-04	6.81272e-05	3090	76405	77614	-63170309.932	-62104704.213
run32	20676	3422	481280	7.66587e-04	1.18860e-04	1589	60633	70007	-63092066.491	-62104704.213
run33	21152	3590	497895	6.52851e-04	1.01601e-04	1775	60536	71351	-63094053.332	-62104704.213
run34	19012	3110	438025	7.98117e-04	1.38625e-04	1434	58260	63097	-63089381.439	-62104704.213
run35	19488	2885	501632	8.32451e-04	1.31817e-04	1423	58524	72455	-63086118.991	-62104704.213
run36	1010	163545	207116	6.10585e-04	0.0012155	7800	10139	83374	-64025210.744	-62104704.213
run37	38792	21309	901359	9.87931e-05	6.01414e-06	37311	37931	692795	-63837386.864	-62104704.213
run38	47520	8349	892012	2.51598e-04	5.75462e-06	10845	41523	563510	-63804075.082	-62104704.213
run39	20636	3893	522911	6.64490e-04	1.08853e-04	1855	61035	72373	-63101733.997	-62104704.213
run40	41953	18830	688976	9.67585e-05	4.20712e-06	37432	38089	750386	-63846707.173	-62104704.213
run41	1102	188419	245450	4.54374e-04	0.0010051	10784	11221	87997	-64026816.176	-62104704.213
run42	20274	3497	466296	7.47702e-04	1.28390e-04	1531	63113	67714	-63094367.259	-62104704.213
run43	20115	3557	412432	7.02093e-04	1.26077e-04	1665	60868	63132	-63099739.471	-62104704.213
run44	21449	3324	468407	8.02594e-04	1.29055e-04	1481	62052	68861	-63098226.141	-62104704.213
run45	18024	2250	520806	0.0011756	1.73954e-04	1060	54239	70174	-63080518.411	-62104704.213
run46	45244	10514	603442	1.97845e-04	5.41897e-06	14619	39718	550734	-63824317.989	-62104704.213
run47	20313	3327	477849	7.51739e-04	1.22063e-04	1543	59207	70914	-63089065.193	-62104704.213
run48	36029	20102	669959	1.04131e-04	6.20113e-06	34549	35227	707882	-63839729.443	-62104704.213
run49	514785	1182	587806	0.0014828	4.54247e-04	21966	22520	301904	-64570610.184	-62104704.213
run50	24223	4769	489800	5.16679e-04	8.60923e-05	2188	70834	73121	-63124205.322	-62104704.213
run51	19865	3557	491554	6.93204e-04	1.17877e-04	1661	63764	72106	-63093359.943	-62104704.213
run52	19883	3008	447565	8.26260e-04	1.41699e-04	1384	60976	64874	-63088928.572	-62104704.213
run53	18364	2829	501972	9.30940e-04	1.47279e-04	1303	53249	68668	-63080913.494	-62104704.213
run54	40657	22885	744200	9.16022e-05	5.70504e-06	39194	39693	673045	-63841871.554	-62104704.213
run55	20042	3661	414964	6.92048e-04	1.23896e-04	1695	56878	64857	-63100590.584	-62104704.213
run56	19436	3046	472057	8.71076e-04	1.41894e-04	1394	59228	66812	-63095236.384	-62104704.213
run57	45325	10202	632959	1.82533e-04	6.02023e-06	13946	40917	469986	-63817938.949	-62104704.213
run58	21865	4444	445675	5.83126e-04	9.91311e-05	2020	68323	73288	-63112039.843	-62104704.213
run59	1093	236792	454660	6.73774e-04	0.0011614	7942	8731	94946	-64007270.285	-62104704.213
run60	22058	6190	489015	4.10334e-04	8.33293e-05	2773	70983	73134	-63150670.600	-62104704.213
run61	39651	19691	1154676	9.11012e-05	6.08497e-06	35613	36200	591068	-63841302.020	-62104704.213
run62	38627	20647	653027	1.00904e-04	4.78317e-06	35415	36029	673883	-63841607.868	-62104704.213
run63	19453	3216	471905	8.23495e-04	1.42175e-04	1421	60719	69136	-63093929.297	-62104704.213
run64	19881	3293	469914	7.06461e-04	1.19077e-04	1625	59574	71208	-63091223.419	-62104704.213
run65	40922	20759	806007	9.74291e-05	5.24074e-06	37200	37891	652984	-63839928.768	-62104704.213
run66	20959	2968	512982	8.56490e-04	1.43820e-04	1366	63361	66849	-63095693.593	-62104704.213
run67	23518	4082	485999	6.35825e-04	9.87058e-05	1923	66770	68245	-63112434.054	-62104704.213
run68	21413	4080	444058	6.30468e-04	1.05240e-04	1830	67090	68033	-63104398.585	-62104704.213
run69	1030	228768	226783	4.76738e-04	0.0011654	11160	11446	87865	-64030643.767	-62104704.213
run70	41280	21493	809775	9.93022e-05	5.01782e-06	37485	38112	741557	-63843586.849	-62104704.213
run71	18939	2881	421783	9.20525e-04	1.48056e-04	1318	59322	70527	-63088603.627	-62104704.213
run72	39506	22729	626721	9.85687e-05	4.59662e-06	37120	38204	726291	-63849919.010	-62104704.213
run73	22042	3976	502648	6.15458e-04	1.01798e-04	1898	64335	72343	-63109958.644	-62104704.213
run74	18908	3019	450750	8.70957e-04	1.42476e-04	1363	56791	69363	-63088209.328	-62104704.213
run75	20797	3788	467558	6.62493e-04	1.07380e-04	1862	64244	71181	-63097220.130	-62104704.213
run76	37971	18997	658424	1.03275e-04	5.40303e-06	34454	35063	742226	-63836461.475	-62104704.213
run77	18847	2803	466860	8.52622e-04	1.40978e-04	1379	58499	69082	-63085236.177	-62104704.213
run78	19771	3436	477112	6.92671e-04	1.16054e-04	1631	59213	69172	-63094208.560	-62104704.213
run79	41944	20982	779680	9.36882e-05	4.61535e-06	37747	39520	654612	-63844825.374	-62104704.213
run80	19717	3391	448923	7.31423e-04	1.26305e-04	1569	62683	70893	-63091644.367	-62104704.213
run81	24551	6074	489382	4.48364e-04	7.63880e-05	2745	71284	72258	-63146701.277	-62104704.213
run82	40058	19375	847599	9.51930e-05	5.29740e-06	36427	37120	719078	-63839746.228	-62104704.213
run83	24886	5653	477863	4.60760e-04	7.87472e-05	2484	72871	74114	-63136737.001	-62104704.213
run84	21217	4316	484180	6.04164e-04	1.03287e-04	1886	67329	68820	-63111500.309	-62104704.213
run85	37405	20280	539631	1.00442e-04	6.00184e-06	35113	35570	672317	-63844674.908	-62104704.213
run86	18838	2938	436308	8.66722e-04	1.48131e-04	1381	60867	65005	-63090184.519	-62104704.213
run87	20296	3236	434850	7.90170e-04	1.32385e-04	1459	61377	69537	-63089728.273	-62104704.213
run88	39458	19501	641092	9.96706e-05	4.82131e-06	35102	35497	708701	-63846191.719	-62104704.213
run89	20939	4587	483320	6.13055e-04	1.05189e-04	1954	63421	67063	-63110707.005	-62104704.213
run90	248451	3583	256161	3.89813e-04	2.33700e-04	26563	26912	109393	-64787598.321	-62104704.213
run91	20579	4230	482691	6.04861e-04	1.04059e-04	1973	62109	70866	-63102879.834	-62104704.213
run92	31507	9851	548955	2.41477e-04	4.42838e-05	4666	79973	82863	-63245358.595	-62104704.213
run93	21046	3091	484547	7.74687e-04	1.36094e-04	1456	66557	67801	-63098466.760	-62104704.213
run94	1956	171216	249898	3.49437e-04	6.00044e-04	14442	14902	96285	-64046710.111	-62104704.213
run95	20796	3345	481826	7.17545e-04	1.23881e-04	1586	66702	69568	-63100293.255	-62104704.213
run96	40970	22482	787180	8.83950e-05	5.76359e-06	38404	39276	681106	-63836619.934	-62104704.213
run97	37678	19621	683054	9.78253e-05	5.68149e-06	35252	36030	706252	-63837612.041	-62104704.213
run98	39302	19836	668935	1.03635e-04	5.13105e-06	35201	35901	741883	-63834337.611	-62104704.213
run99	37486	17948	891590	1.03019e-04	5.24805e-06	32444	34098	670297	-63832644.324	-62104704.213
run100	21077	4246	484682	6.33735e-04	1.10676e-04	1822	64784	68242	-63106874.963	-62104704.213
