Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run50	17100	3589	491010	4.33981e-04	5.01255e-05	1.95320e-05	6.93955e-05	3134	108146	111310	-63012422.956	-62104704.213
run51	23215	1542	512067	7.76056e-04	4.06840e-06	2.53980e-05	2.44645e-04	4758	117348	927000	-62718656.079	-62104704.213
run52	4711	21482	444600	1.98404e-04	5.29600e-05	5.25794e-05	7.90315e-07	24366	166463	168360	-63450490.493	-62104704.213
run53	5418	13577	518317	3.61704e-06	9.84090e-05	1.88087e-05	3.26689e-05	91418	159116	542377	-63427293.345	-62104704.213
run54	4786	21963	464817	1.83793e-04	3.75537e-05	4.92817e-05	1.79247e-06	19084	127548	142501	-63451940.557	-62104704.213
run55	22789	1542	530723	7.35582e-04	3.80682e-06	2.64771e-05	2.51807e-04	4924	117884	980191	-62719501.312	-62104704.213
run56	6435	26408	502291	1.35290e-04	2.90775e-05	3.97460e-05	1.73075e-06	64869	162422	578793	-63339433.126	-62104704.213
run57	18090	1854	368864	8.81741e-04	9.89389e-05	1.32110e-05	1.62671e-04	1685	54379	111914	-62958544.236	-62104704.213
run58	30044	2803	527003	4.04022e-04	4.20165e-06	1.44062e-05	1.23814e-04	8072	117727	953045	-62781291.702	-62104704.213
run59	22701	1735	525933	7.08288e-04	4.18711e-06	2.59711e-05	2.21561e-04	5125	121076	828267	-62728303.219	-62104704.213
run60	18090	1854	368864	8.81741e-04	9.89389e-05	1.32110e-05	1.62671e-04	1685	54379	111914	-62958544.236	-62104704.213
run61	3753	20149	517454	2.51429e-04	5.71587e-05	7.10046e-05	8.35990e-08	36470	156408	627913	-63345999.541	-62104704.213
run62	32278	3219	507914	3.62059e-04	3.12735e-06	1.40823e-05	1.09871e-04	9049	133428	613228	-62800741.109	-62104704.213
run63	4406	24099	489074	2.01232e-04	4.74136e-05	5.59388e-05	7.41696e-07	19129	138184	156846	-63456441.687	-62104704.213
run64	19707	1358	512195	8.73045e-04	5.44907e-06	2.86925e-05	2.93239e-04	4249	122890	951686	-62713296.103	-62104704.213
