Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	MIG_G2C	MIG_G2E	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run61	18325	1035	490728	0.0011602	1.41125e-07	3.18327e-05	3.88165e-04	5.15721e-07	3.17927e-06	4033	128776	972369	-62672372.449	-62104704.213
run62	12235	1036	513283	0.0011734	5.52941e-08	4.66642e-05	3.79059e-04	8.28611e-07	1.62445e-06	3313	123697	981388	-62673825.770	-62104704.213
run63	4616	12588	497238	2.25131e-04	6.57532e-05	4.51379e-05	1.18705e-05	1.51386e-06	4.30930e-07	124492	240371	736521	-62996735.609	-62104704.213
run64	14087	1017	529550	0.0011936	1.99557e-07	4.16556e-05	3.80814e-04	7.69793e-07	2.78977e-06	3565	129322	862275	-62673707.873	-62104704.213
run65	6202	5964	458320	3.10298e-04	4.35969e-05	3.17220e-05	4.56856e-05	9.58658e-07	1.23577e-06	100233	265343	741317	-62988164.087	-62104704.213
run66	17446	1014	509583	0.0012115	1.18599e-07	3.20985e-05	3.87951e-04	5.77170e-07	4.91584e-06	4265	123210	892675	-62670735.252	-62104704.213
run67	14706	1019	494373	0.0011685	1.24365e-07	4.02142e-05	3.61151e-04	7.44786e-07	3.38703e-06	3674	130120	914022	-62674624.944	-62104704.213
run68	3426	1374	492290	0.0012710	2.06292e-07	7.61781e-05	2.07914e-04	2.63598e-06	6.52076e-06	16800	239661	664052	-62995954.602	-62104704.213
run69	4480	10582	440087	2.61941e-04	7.04220e-05	4.59034e-05	1.67542e-05	1.68261e-06	5.10974e-07	96830	262870	800005	-63000076.401	-62104704.213
run70	1603	5340	480519	6.30885e-04	1.96880e-04	1.17187e-04	3.29609e-05	8.19376e-06	8.04443e-07	44995	250319	832784	-63019688.845	-62104704.213
run71	15134	1045	511551	0.0011882	1.79991e-07	3.92478e-05	3.64173e-04	5.88789e-07	2.85572e-06	3813	131210	926136	-62673663.544	-62104704.213
run72	1889	5374	473908	5.23796e-04	1.18758e-04	9.99101e-05	3.55513e-05	8.81045e-06	1.18867e-06	59863	283547	500666	-63019252.897	-62104704.213
run73	1893	8062	488123	4.81854e-04	1.67841e-04	9.78597e-05	1.35249e-05	7.69706e-06	6.96576e-07	67969	297674	565279	-63022500.997	-62104704.213
run74	14249	1023	554032	0.0011443	1.83542e-08	4.06405e-05	4.06725e-04	8.06936e-07	2.53897e-06	3492	130477	806566	-62677665.343	-62104704.213
run75	19183	1047	505283	0.0011751	3.23241e-08	2.86758e-05	3.73673e-04	5.03207e-07	4.56465e-06	4823	127709	967727	-62669501.450	-62104704.213
run76	5856	7546	477080	2.76798e-04	4.97215e-05	3.42167e-05	3.34690e-05	1.02037e-06	1.18581e-06	110418	259477	779067	-62989881.692	-62104704.213
run77	6345	11162	491191	2.15846e-04	3.99670e-05	3.26795e-05	1.65833e-05	9.99418e-07	5.04810e-07	156577	253490	777149	-62985492.111	-62104704.213
run78	17463	1078	496423	0.0011422	1.28210e-07	3.15189e-05	3.63978e-04	5.89150e-07	3.81302e-06	4544	130241	961412	-62671887.510	-62104704.213
run79	4797	11040	505183	2.75034e-04	5.98187e-05	4.16904e-05	1.74454e-05	2.07093e-06	3.70974e-07	103890	221589	701309	-63000083.930	-62104704.213
run80	3673	9907	495346	2.97390e-04	8.28032e-05	5.11375e-05	2.05203e-05	2.65996e-06	7.68628e-07	115676	230208	523373	-62999755.626	-62104704.213
run81	1190	16264	457297	1.16652e-07	7.59135e-04	6.58103e-05	2.19408e-05	8.51431e-06	4.36492e-07	244214	256940	649312	-63060872.888	-62104704.213
run82	13992	1019	500357	0.0011811	5.25123e-07	4.25349e-05	3.97250e-04	6.59727e-07	3.31916e-06	3537	131974	959605	-62673855.962	-62104704.213
run83	1239	14260	472837	5.64729e-07	8.36780e-04	6.16857e-05	2.46875e-05	7.60507e-06	4.58887e-07	235267	256260	817739	-63059781.778	-62104704.213
run84	1038	1773	345764	0.0011968	2.71696e-04	1.54278e-04	1.09064e-04	3.24303e-05	1.67340e-05	88111	471559	482763	-63167252.794	-62104704.213
run85	1752	2253	345645	8.91676e-04	1.62523e-04	9.50435e-05	9.32141e-05	1.91226e-05	1.58110e-05	85741	442242	450452	-63164974.007	-62104704.213
run86	1313	13481	472420	1.25667e-06	8.06392e-04	5.82673e-05	2.62465e-05	6.27378e-06	4.26831e-07	221359	242878	885098	-63063226.271	-62104704.213
run87	6799	2010	449499	7.32946e-04	3.27721e-05	2.86487e-05	1.36050e-04	1.42288e-06	6.45338e-06	81580	350547	926523	-63005405.616	-62104704.213
run88	8165	4653	464484	3.49337e-04	3.26104e-05	2.53034e-05	5.79150e-05	6.43253e-07	1.66129e-06	148894	232086	956275	-62974504.327	-62104704.213
run89	1035	2273	497731	0.0012075	2.77754e-04	1.87837e-04	9.34353e-05	1.61053e-05	3.86786e-06	16210	227956	583089	-63020728.425	-62104704.213
run90	14878	1052	535398	0.0011024	5.84182e-08	3.69972e-05	3.49586e-04	5.89784e-07	3.74716e-06	4077	130501	980158	-62670004.611	-62104704.213
run91	8622	1895	470437	7.58008e-04	3.17085e-05	2.37775e-05	1.48971e-04	6.92104e-07	4.37286e-06	73418	253181	831598	-62978562.330	-62104704.213
run92	19781	1039	516950	0.0011927	3.53991e-07	2.80705e-05	3.72825e-04	4.28872e-07	4.87456e-06	5053	123006	970983	-62672744.547	-62104704.213
run93	1023	16015	466430	1.60043e-06	9.08244e-04	7.01028e-05	2.20509e-05	1.01151e-05	4.62284e-07	255239	268544	825484	-63061132.957	-62104704.213
run94	12064	1042	511346	0.0011818	3.54075e-07	4.61126e-05	3.85548e-04	7.76237e-07	1.09889e-06	3167	130012	924767	-62680896.326	-62104704.213
run95	1069	11256	451398	2.46023e-07	8.36357e-04	6.07298e-05	3.12749e-05	8.96667e-06	6.47046e-07	171277	275216	761646	-63072581.567	-62104704.213
run96	1404	13709	476241	2.24932e-06	6.46673e-04	6.21791e-05	2.61491e-05	5.97339e-06	4.41769e-07	212918	245946	955124	-63063418.365	-62104704.213
run97	14888	1037	488921	0.0011749	5.86541e-08	4.01922e-05	3.88077e-04	7.54209e-07	2.82942e-06	3590	122673	952632	-62674091.834	-62104704.213
run98	14961	1024	521969	0.0012061	1.47432e-07	4.13307e-05	3.81981e-04	5.60288e-07	2.83921e-06	3566	122515	931442	-62671836.803	-62104704.213
run99	1696	4612	353736	6.51915e-04	1.37011e-04	1.05097e-04	3.39880e-05	2.36897e-05	2.84615e-06	76081	429598	435446	-63175703.560	-62104704.213
run100	15462	1290	321572	0.0011204	1.25109e-04	1.37096e-05	2.06797e-04	6.27966e-07	4.56014e-05	1418	46382	116647	-62936745.882	-62104704.213
