Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	MIG_G2C	MIG_G2E	DIV13	DIV02	DIV32	MaxEstLhood	MaxObsLhood
run1	2264	6862	495138	4.65034e-04	1.20966e-04	8.94199e-05	2.97902e-05	4.49803e-06	6.27312e-07	101811	240284	653137	-63011734.683	-62104704.213
run2	3678	5832	481969	3.92361e-04	8.40659e-05	5.65057e-05	3.51193e-05	2.19158e-06	1.20720e-06	108467	278736	820319	-62999989.753	-62104704.213
run3	15496	1020	512419	0.0012093	1.03621e-07	3.62531e-05	4.06785e-04	5.91585e-07	3.34175e-06	3934	125580	988485	-62668970.317	-62104704.213
run4	6410	6474	488401	3.07106e-04	3.94371e-05	3.13122e-05	3.55782e-05	1.39315e-06	1.94874e-06	98186	260053	660935	-62991104.472	-62104704.213
run5	17698	1079	511945	0.0010734	3.81877e-07	3.09563e-05	3.55736e-04	5.47177e-07	4.33632e-06	4498	131873	939062	-62672061.525	-62104704.213
run6	20677	1063	512090	0.0011467	5.31989e-08	2.66982e-05	3.63878e-04	6.13988e-07	6.08328e-06	5130	126704	862109	-62678575.024	-62104704.213
run7	15931	1023	532066	0.0011593	1.37766e-07	3.60687e-05	3.79063e-04	6.20930e-07	3.73900e-06	4089	127872	941259	-62671562.102	-62104704.213
run8	1806	7861	493395	4.36264e-04	2.11617e-04	1.02163e-04	2.04606e-05	4.08548e-06	4.22883e-07	96463	227429	787467	-63013850.243	-62104704.213
run9	2654	1829	513296	0.0011761	2.03443e-07	9.07660e-05	1.84436e-04	3.63464e-06	3.10564e-06	4731	146615	820281	-62978894.999	-62104704.213
run10	16365	1013	510909	0.0011541	4.81041e-07	3.71300e-05	3.97035e-04	5.35977e-07	2.71369e-06	3724	130619	913008	-62670934.437	-62104704.213
run11	16204	1019	503251	0.0012042	1.94980e-07	3.48602e-05	3.84408e-04	6.64506e-07	4.80161e-06	3956	129318	949332	-62670611.549	-62104704.213
run12	16913	1044	530385	0.0011711	2.70353e-07	3.38513e-05	3.55195e-04	5.93778e-07	3.42745e-06	4217	130130	926437	-62670136.180	-62104704.213
run13	2718	7804	502778	3.39556e-04	1.24894e-04	6.42428e-05	2.67688e-05	4.09693e-06	1.13663e-06	146907	217010	790562	-63006706.348	-62104704.213
run14	2726	1697	345071	9.39773e-04	8.27331e-05	6.54907e-05	1.29394e-04	1.09795e-05	2.07812e-05	95663	511851	524623	-63163189.026	-62104704.213
run15	14338	1064	527924	0.0011880	5.89924e-08	3.97738e-05	3.71979e-04	5.60590e-07	2.20274e-06	3632	122582	987003	-62670855.313	-62104704.213
run16	17556	1047	534960	0.0011735	2.91982e-07	3.22371e-05	3.76479e-04	5.00986e-07	4.13288e-06	4427	125454	977392	-62670526.762	-62104704.213
run17	1390	1916	349190	0.0010751	1.80532e-04	1.26692e-04	1.05957e-04	2.36766e-05	1.39945e-05	45190	513447	525651	-63163595.448	-62104704.213
run18	17879	1032	516578	0.0011609	5.31243e-08	3.21100e-05	3.85441e-04	4.86353e-07	3.56548e-06	4294	124683	989046	-62667428.058	-62104704.213
run19	5302	3131	502880	6.39366e-04	1.70636e-06	4.74586e-05	8.82412e-05	1.14504e-06	1.77346e-06	23050	199619	938000	-62989567.032	-62104704.213
run20	1227	1166	499117	0.0020341	1.08769e-06	2.10556e-04	1.95221e-04	6.18976e-06	5.39380e-06	4070	195058	826035	-63002266.696	-62104704.213
run21	12397	1018	510579	0.0012582	8.22773e-08	4.64944e-05	3.92572e-04	7.24263e-07	3.83369e-06	3374	131174	901778	-62675863.077	-62104704.213
run22	1210	7011	492972	5.99549e-04	2.32449e-04	1.54998e-04	1.29399e-05	1.23811e-05	4.98624e-08	41435	252478	483946	-63025470.321	-62104704.213
run23	5915	1872	491568	8.00050e-04	3.53864e-05	3.44373e-05	1.59707e-04	1.36591e-06	4.95948e-06	62485	235975	842232	-62986875.192	-62104704.213
run24	1839	1629	347914	0.0010180	1.16809e-04	9.32783e-05	1.30052e-04	1.81791e-05	2.31770e-05	66433	445545	450955	-63160317.489	-62104704.213
run25	6423	7631	458326	2.96541e-04	2.71371e-05	3.40964e-05	3.02175e-05	8.87461e-07	7.24881e-07	113029	268847	974475	-62988641.836	-62104704.213
run26	11320	1068	535677	0.0012382	4.48189e-07	4.86623e-05	3.76252e-04	1.14779e-06	1.19639e-07	3057	128031	806964	-62685881.426	-62104704.213
run27	1826	1874	487626	0.0011009	1.20484e-04	1.06060e-04	1.17073e-04	8.49287e-06	9.20035e-06	21248	244683	554368	-63013487.201	-62104704.213
run28	16750	1365	376330	0.0010745	1.13598e-04	6.29973e-06	1.82951e-04	8.88200e-06	6.90588e-05	1614	52555	100659	-62944486.818	-62104704.213
run29	1152	13289	460654	5.13566e-07	8.15323e-04	7.68548e-05	2.78636e-05	7.23814e-06	4.24870e-07	216573	230978	807722	-63060289.027	-62104704.213
run30	1062	10647	464918	1.39532e-05	9.35409e-04	6.79501e-05	3.06571e-05	1.14195e-05	7.38969e-07	209719	242343	644896	-63071885.004	-62104704.213
run31	2180	6605	500471	4.34673e-04	1.26674e-04	9.14635e-05	2.58633e-05	4.23258e-06	4.20714e-07	80994	255070	906209	-63013447.614	-62104704.213
run32	2719	1754	349926	9.19110e-04	8.49097e-05	6.40434e-05	1.38919e-04	1.12290e-05	1.94308e-05	79172	478922	490180	-63163999.754	-62104704.213
run33	4715	9380	479742	2.73055e-04	6.10369e-05	4.30211e-05	2.02397e-05	2.10980e-06	7.33085e-07	110413	265705	575206	-62993951.202	-62104704.213
run34	5932	3091	471881	5.16884e-04	3.31527e-05	3.36757e-05	9.82699e-05	1.67827e-06	3.47297e-06	75405	249377	783865	-62993776.414	-62104704.213
run35	2234	7267	525495	4.05839e-04	1.32978e-04	8.53565e-05	2.40593e-05	4.49624e-06	5.85864e-07	131238	200273	896035	-63010520.350	-62104704.213
run36	12058	1011	507434	0.0012810	7.10962e-06	4.71804e-05	3.86467e-04	1.19882e-06	4.82988e-06	2856	128381	941219	-62699293.593	-62104704.213
run37	20329	1025	505126	0.0011763	2.29391e-07	2.68802e-05	3.55333e-04	4.91021e-07	5.91665e-06	5229	126803	972444	-62674645.260	-62104704.213
run38	18927	1020	500321	0.0012479	1.73876e-07	3.03539e-05	3.58726e-04	5.42927e-07	4.58319e-06	4608	129385	987823	-62670340.460	-62104704.213
run39	17747	1024	514379	0.0012174	2.96108e-07	3.22351e-05	3.77478e-04	4.62818e-07	4.09234e-06	4413	127925	959824	-62669137.659	-62104704.213
run40	14203	1014	501353	0.0011912	1.36272e-07	4.09178e-05	3.74201e-04	7.21277e-07	2.82177e-06	3653	126685	937452	-62671194.895	-62104704.213
run41	8622	6633	465592	3.01762e-04	2.34886e-05	2.61292e-05	3.61462e-05	8.52099e-07	1.12064e-06	97761	247211	718428	-62988711.677	-62104704.213
run42	5503	4853	453374	3.80088e-04	5.24709e-05	3.59320e-05	5.25940e-05	1.50256e-06	1.70970e-06	123754	281105	799064	-62986506.851	-62104704.213
run43	9658	2468	490108	6.83286e-04	7.97318e-06	2.24802e-05	1.20125e-04	6.37611e-07	3.08435e-06	64124	205684	838163	-62976632.545	-62104704.213
run44	1900	2858	475583	8.23004e-04	1.55419e-04	9.86938e-05	8.29681e-05	4.40268e-06	2.28806e-06	69416	274980	785797	-63018040.012	-62104704.213
run45	1171	1395	478765	0.0015935	1.84222e-04	1.83784e-04	1.56440e-04	1.08964e-05	9.10114e-06	13934	287289	519984	-63016659.579	-62104704.213
run46	20069	1018	503432	0.0011833	2.08877e-07	2.63867e-05	3.67692e-04	4.40354e-07	4.93395e-06	5241	130684	893358	-62673807.473	-62104704.213
run47	3916	6915	477661	3.48641e-04	6.30118e-05	5.36205e-05	2.89238e-05	1.97770e-06	9.79605e-07	65761	214201	787213	-63002105.581	-62104704.213
run48	9791	8841	477221	2.00005e-04	2.57356e-05	2.21092e-05	2.46191e-05	5.31899e-07	6.13236e-07	221306	228758	921513	-62975528.969	-62104704.213
run49	1163	9203	463500	9.93176e-06	7.80273e-04	5.15946e-05	3.63844e-05	1.37454e-05	1.10067e-06	136865	290199	825494	-63091574.845	-62104704.213
run50	17334	1042	512962	0.0011544	6.81679e-08	3.42887e-05	3.70094e-04	5.77343e-07	4.70891e-06	4039	123599	966381	-62670990.489	-62104704.213
run51	1025	8235	435525	1.05591e-06	9.19608e-04	6.28437e-05	4.14011e-05	1.50008e-05	1.63617e-06	104244	321247	879799	-63102754.594	-62104704.213
run52	6959	9964	457860	2.23115e-04	4.04375e-05	2.91634e-05	2.35627e-05	9.39529e-07	7.86162e-07	144666	236099	673000	-62985209.509	-62104704.213
run53	13291	1059	515211	0.0012046	3.05972e-07	4.56190e-05	3.78089e-04	7.25412e-07	9.53762e-07	3300	123650	945552	-62674536.243	-62104704.213
run54	21875	1224	511166	9.71904e-04	1.47932e-07	2.29296e-05	3.12680e-04	3.97880e-07	3.39060e-06	5900	130171	936996	-62683699.631	-62104704.213
run55	2057	1616	341316	0.0010850	1.35520e-04	8.47213e-05	1.45041e-04	1.51990e-05	2.00440e-05	69732	516146	527856	-63163418.671	-62104704.213
run56	17608	1050	514295	0.0011297	3.64952e-08	3.20505e-05	3.67088e-04	5.38542e-07	4.21929e-06	4511	129592	980261	-62668858.612	-62104704.213
run57	16245	1026	489963	0.0012268	4.31097e-08	3.70362e-05	3.66805e-04	6.33840e-07	3.97837e-06	3915	127309	915034	-62672315.755	-62104704.213
run58	7809	11247	468085	2.10519e-04	2.53402e-05	2.64652e-05	1.97920e-05	8.43641e-07	6.61935e-07	125131	211627	770979	-62989586.764	-62104704.213
run59	3036	1286	484163	0.0012432	6.34918e-05	7.42080e-05	2.18530e-04	2.42303e-06	7.59235e-06	24627	247442	807976	-62998588.888	-62104704.213
run60	1105	13682	492607	1.50078e-07	8.84430e-04	8.40929e-05	2.49296e-05	5.97322e-06	3.89221e-07	217010	236561	912911	-63057624.787	-62104704.213
