Run	N_CMC	N_CME	N_CMS	SURF	HYBR	DIV03	DIV32	MaxEstLhood	MaxObsLhood
run91	50788	20469	418931	0.1572998	3953	43240	59469	-64170865.483	-62104704.213
run92	52740	21049	432137	0.1620333	3867	44599	59598	-64170185.024	-62104704.213
run93	46362	22767	467779	0.1594452	4332	35902	61956	-64167826.775	-62104704.213
run94	48132	22241	447959	0.1679001	4247	38955	62619	-64167559.567	-62104704.213
run95	46280	16949	436569	0.1682392	3110	39201	63071	-64164628.977	-62104704.213
run96	46503	24164	441274	0.1593457	4787	35294	60429	-64171291.884	-62104704.213
run97	47032	26140	445150	0.1471905	4535	38456	60914	-64167724.798	-62104704.213
run98	49638	21415	453791	0.1572550	4025	39447	62270	-64169425.290	-62104704.213
run99	49907	26119	465896	0.1430562	4638	42656	60145	-64173991.901	-62104704.213
run100	47884	23871	435647	0.1654288	4442	40116	58902	-64171423.624	-62104704.213
