Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV01	DIV12	MaxEstLhood	MaxObsLhood
run1	17757	59113	477584	2.44736e-06	3.05114e-05	31988	58513	-64019036.302	-62104704.213
run2	19166	56987	438916	3.48605e-06	2.94814e-05	31383	55014	-64018878.206	-62104704.213
run3	18518	52309	408247	3.76547e-06	2.73179e-05	28277	56739	-64021179.613	-62104704.213
run4	19017	57143	453189	4.55118e-06	2.78529e-05	35180	57282	-64021887.082	-62104704.213
run5	20573	63887	454923	4.99577e-06	2.48807e-05	38174	56628	-64022295.849	-62104704.213
run6	23620	56048	465327	7.43889e-06	2.02610e-05	37146	56519	-64020987.528	-62104704.213
run7	21440	63865	432724	4.75615e-06	2.35737e-05	36371	58831	-64021776.111	-62104704.213
run8	21001	55336	396190	5.66757e-06	2.43724e-05	31606	56865	-64017683.113	-62104704.213
run9	21662	54623	422001	7.36253e-06	2.35357e-05	33243	51261	-64020251.475	-62104704.213
run10	22059	54371	442821	6.79787e-06	2.36501e-05	34422	59035	-64018265.097	-62104704.213
run11	21125	59636	481465	3.94425e-06	2.49093e-05	35850	57332	-64020302.859	-62104704.213
run12	19784	62193	428882	3.08132e-06	2.68380e-05	37579	55139	-64022741.419	-62104704.213
run13	19116	54380	447510	5.41145e-06	2.78012e-05	30930	58524	-64013802.764	-62104704.213
run14	19736	58920	437029	3.68767e-06	2.52352e-05	32175	56402	-64020013.639	-62104704.213
run15	22131	64811	411316	3.92628e-06	2.23221e-05	38268	54823	-64022356.725	-62104704.213
run16	19851	53839	426101	4.14592e-06	2.77048e-05	30190	59370	-64019001.520	-62104704.213
run17	1459	357289	417556	3.30211e-04	7.85368e-04	15442	61808	-64062406.373	-62104704.213
run18	1467	430877	462088	3.15230e-04	8.09110e-04	17047	57239	-64072769.033	-62104704.213
run19	18366	53477	454914	3.34414e-06	2.60594e-05	27004	57734	-64020356.053	-62104704.213
run20	20219	62354	439527	3.03647e-06	2.70430e-05	34536	60291	-64019825.787	-62104704.213
run21	20491	59070	426648	5.11686e-06	2.51801e-05	33515	61466	-64020618.425	-62104704.213
run22	22951	62104	444133	4.85296e-06	2.29473e-05	39713	58189	-64023884.377	-62104704.213
run23	19845	58910	454205	4.17892e-06	2.54108e-05	34512	57519	-64016407.480	-62104704.213
run24	22239	55488	417472	7.34639e-06	2.19563e-05	33174	57986	-64022812.080	-62104704.213
run25	22004	55213	452469	6.44060e-06	2.39130e-05	34589	54413	-64019687.360	-62104704.213
run26	18775	57050	375821	4.95060e-06	2.68981e-05	31716	54233	-64019261.953	-62104704.213
run27	21804	58850	478630	4.51697e-06	2.23477e-05	36087	54958	-64023595.158	-62104704.213
run28	18586	58167	447540	3.98711e-06	2.71212e-05	33329	56520	-64017211.117	-62104704.213
run29	20026	57434	449731	5.01851e-06	2.64615e-05	34492	58591	-64015167.260	-62104704.213
run30	18435	50350	455364	6.40027e-06	2.93388e-05	25286	58272	-64021425.000	-62104704.213
run31	26217	59983	474950	7.13291e-06	1.83566e-05	44077	54794	-64025139.240	-62104704.213
run32	21843	56552	457634	5.94951e-06	2.26212e-05	34345	56285	-64017704.475	-62104704.213
run33	23710	56237	400878	7.92656e-06	2.22689e-05	37580	54403	-64023320.728	-62104704.213
run34	22727	55837	447919	6.17032e-06	2.20709e-05	34323	55252	-64020515.658	-62104704.213
run35	19087	58182	475060	4.16404e-06	2.77286e-05	33861	61359	-64021545.162	-62104704.213
