Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	DIV01	DIV12	MaxEstLhood	MaxObsLhood
run36	18529	53497	414359	4.59316e-06	3.04408e-05	28293	55408	-64016788.592	-62104704.213
run37	22136	58213	404881	5.53403e-06	2.36978e-05	35374	53879	-64018877.657	-62104704.213
run38	4149	198482	453221	1.73351e-04	2.80336e-04	25907	66157	-64125389.589	-62104704.213
run39	19547	61675	454395	3.19232e-06	2.66299e-05	34121	62527	-64021222.827	-62104704.213
run40	19975	55437	414511	5.89237e-06	2.71378e-05	31347	53969	-64015163.578	-62104704.213
run41	19940	59506	457020	3.60208e-06	2.52336e-05	33338	58843	-64019804.457	-62104704.213
run42	22392	57349	474013	7.66935e-06	2.31784e-05	35344	56647	-64017779.084	-62104704.213
run43	22713	57757	447751	6.00605e-06	2.45350e-05	35592	54616	-64023086.190	-62104704.213
run44	19781	59143	466621	5.51064e-06	2.70100e-05	36965	56188	-64020622.676	-62104704.213
run45	26266	59211	488396	7.58164e-06	1.88569e-05	42754	55894	-64031044.954	-62104704.213
run46	19619	56124	453073	4.01638e-06	2.58294e-05	29871	56662	-64016825.583	-62104704.213
run47	20674	57443	430173	5.50489e-06	2.38060e-05	31971	58941	-64021853.448	-62104704.213
run48	23135	59047	484055	6.00445e-06	2.08058e-05	38137	57493	-64023793.336	-62104704.213
run49	18729	63711	397849	3.01808e-06	3.01382e-05	36090	53500	-64025287.026	-62104704.213
run50	18536	59472	417449	3.12214e-06	2.85923e-05	32653	55326	-64019376.171	-62104704.213
run51	19852	54344	464965	6.80158e-06	2.69734e-05	32236	59110	-64020813.737	-62104704.213
run52	22842	59287	483317	4.99098e-06	2.09730e-05	38850	58609	-64025718.160	-62104704.213
run53	21245	59905	447772	4.65397e-06	2.28533e-05	36007	57195	-64021865.082	-62104704.213
run54	24037	57393	484352	6.68431e-06	2.12048e-05	39071	55857	-64024121.078	-62104704.213
run55	19363	58329	494302	4.44449e-06	2.56423e-05	33598	59372	-64024372.811	-62104704.213
run56	18377	58808	444366	3.78165e-06	2.72619e-05	32472	56708	-64019179.261	-62104704.213
run57	17692	62299	442627	2.90900e-06	3.09554e-05	34880	59754	-64020092.444	-62104704.213
run58	20226	61032	463324	3.64935e-06	2.62676e-05	32755	58188	-64022607.641	-62104704.213
run59	18379	56455	428763	4.12986e-06	3.05955e-05	32025	56334	-64018301.809	-62104704.213
run60	23013	52241	419706	1.04463e-05	2.28561e-05	37722	54918	-64020253.147	-62104704.213
run61	21175	59346	430008	4.78032e-06	2.32651e-05	37305	54275	-64022362.195	-62104704.213
run62	1276	285775	461768	3.98429e-04	9.76202e-04	13450	67114	-64052070.210	-62104704.213
run63	19253	62869	427865	3.72572e-06	2.70820e-05	36347	58883	-64020343.522	-62104704.213
run64	23125	59097	465441	5.71020e-06	2.30671e-05	40416	59302	-64029448.782	-62104704.213
run65	1065	287819	437335	4.33611e-04	0.0011030	11965	69444	-64049925.906	-62104704.213
run66	20803	59476	492702	4.51909e-06	2.45650e-05	33133	59272	-64026044.677	-62104704.213
run67	20606	55196	446781	5.97448e-06	2.48206e-05	30940	61819	-64016319.517	-62104704.213
run68	21638	55917	435540	4.82207e-06	2.31806e-05	34119	56906	-64016569.224	-62104704.213
run69	21020	59403	467823	4.25893e-06	2.38730e-05	33115	58496	-64024164.029	-62104704.213
run70	19563	61736	484502	3.29912e-06	2.64162e-05	37481	58157	-64025064.578	-62104704.213
run71	21329	58122	432293	4.68976e-06	2.40009e-05	32531	57584	-64018551.326	-62104704.213
run72	23203	55847	450665	6.07134e-06	2.11802e-05	39279	54734	-64023918.424	-62104704.213
run73	19125	59253	438778	3.80813e-06	2.46680e-05	34429	56600	-64019167.590	-62104704.213
run74	22130	55814	425909	5.35014e-06	2.26959e-05	32925	57059	-64020076.251	-62104704.213
run75	24495	61123	475099	5.30061e-06	2.06256e-05	40604	54334	-64025442.792	-62104704.213
run76	19390	54548	423068	5.00581e-06	2.64677e-05	30763	57353	-64016335.365	-62104704.213
run77	24327	60854	456144	6.55623e-06	2.07993e-05	40162	57396	-64025501.528	-62104704.213
run78	22695	57227	486043	7.19628e-06	2.12597e-05	36934	56233	-64023987.825	-62104704.213
run79	19680	56474	447351	3.60113e-06	2.65818e-05	31811	56236	-64023003.233	-62104704.213
run80	18897	55297	482596	4.71536e-06	2.78095e-05	29160	59275	-64023628.517	-62104704.213
run81	24529	52079	435241	6.91770e-06	1.93111e-05	33549	50976	-64023986.506	-62104704.213
run82	21155	58275	442128	5.65403e-06	2.43854e-05	35324	57255	-64017519.045	-62104704.213
run83	20423	57938	463966	4.46609e-06	2.25402e-05	33735	57037	-64018765.113	-62104704.213
run84	21701	56515	462002	5.76267e-06	2.63488e-05	31953	57018	-64021145.930	-62104704.213
run85	21044	58844	444049	5.06460e-06	2.31764e-05	33741	53602	-64020925.333	-62104704.213
run86	20536	60355	465658	4.84126e-06	2.62906e-05	35416	57014	-64025648.159	-62104704.213
run87	22274	58972	463285	6.89670e-06	2.41062e-05	35694	59852	-64024571.360	-62104704.213
run88	20079	54450	434535	4.99423e-06	2.61641e-05	31536	57069	-64016473.092	-62104704.213
run89	17636	55834	462928	2.65285e-06	3.02268e-05	26950	58989	-64021212.187	-62104704.213
run90	23409	59367	424164	5.75415e-06	2.16964e-05	38277	58176	-64020054.216	-62104704.213
run91	20690	66043	467138	3.80209e-06	2.43730e-05	42630	55588	-64031760.572	-62104704.213
run92	1532	313570	521572	3.97818e-04	8.46506e-04	13515	66707	-64062243.804	-62104704.213
run93	23198	52423	436218	7.48301e-06	1.98583e-05	32033	56624	-64019318.418	-62104704.213
run94	22334	61465	476303	5.47495e-06	2.12363e-05	37697	59827	-64024363.674	-62104704.213
run95	20172	58166	440564	4.60583e-06	2.64879e-05	34671	57681	-64019930.798	-62104704.213
run96	17526	55850	418217	3.57533e-06	3.17859e-05	30889	58117	-64019017.226	-62104704.213
run97	17921	53950	412283	5.21680e-06	2.87452e-05	30789	56245	-64017623.458	-62104704.213
run98	21191	57257	458950	6.60865e-06	2.49310e-05	37621	57856	-64020418.560	-62104704.213
run99	19519	53853	426799	5.60606e-06	2.82446e-05	30618	59432	-64017872.570	-62104704.213
run100	20254	56485	462920	3.72135e-06	2.42920e-05	33168	60026	-64019361.995	-62104704.213
