Run	N_CMC	N_CME	N_CMS	DIV01	DIV12	MaxEstLhood	MaxObsLhood
run1	36184	53586	427028	9320	48567	-64356501.617	-62104704.213
run2	45191	63403	371333	10851	40318	-64369283.108	-62104704.213
run3	35482	50384	446267	9310	46447	-64356764.618	-62104704.213
run4	41573	53764	403607	11026	49600	-64358592.499	-62104704.213
run5	36151	57352	429544	9935	49458	-64356373.587	-62104704.213
run6	40526	56188	379801	11211	45841	-64354783.108	-62104704.213
run7	41418	61350	323217	10593	43038	-64362961.596	-62104704.213
run8	30783	51045	428284	8125	46874	-64352522.068	-62104704.213
run9	47289	70465	426822	11288	45249	-64370168.203	-62104704.213
run10	41057	61976	380571	11460	44953	-64358053.164	-62104704.213
run11	41612	56996	413826	9703	44646	-64358088.161	-62104704.213
run12	39652	56889	394066	10588	45565	-64357481.804	-62104704.213
run13	40677	63244	385926	10493	47692	-64354299.223	-62104704.213
run14	39629	60412	427300	9988	45534	-64358038.051	-62104704.213
run15	39098	58537	389786	10368	44113	-64354987.977	-62104704.213
run16	41629	60886	378225	9335	43722	-64361677.037	-62104704.213
run17	36591	53415	451437	9717	46383	-64361126.246	-62104704.213
run18	37596	55115	307188	9165	44513	-64363763.206	-62104704.213
run19	36262	54105	420962	9449	49560	-64355482.846	-62104704.213
run20	36971	57009	315448	10258	41907	-64361819.639	-62104704.213
run21	34310	52931	476065	8680	49440	-64352649.455	-62104704.213
run22	39299	58819	417392	10564	46153	-64357737.471	-62104704.213
run23	38530	58636	362372	9624	46962	-64359594.463	-62104704.213
run24	34052	54742	442843	9435	44689	-64363138.195	-62104704.213
run25	36377	53221	448660	9315	46438	-64359250.529	-62104704.213
run26	38900	63610	416026	11713	45798	-64360989.055	-62104704.213
run27	43940	64801	407480	11565	44576	-64362493.270	-62104704.213
run28	36537	54015	426816	9221	48816	-64355803.940	-62104704.213
run29	34041	51262	417801	9826	51394	-64351312.845	-62104704.213
run30	40307	56613	438922	11078	49365	-64359586.944	-62104704.213
run31	36869	54048	335884	9960	42230	-64352408.822	-62104704.213
run32	33262	47280	385811	9247	45921	-64354930.551	-62104704.213
run33	35354	54621	363172	9744	42404	-64356300.888	-62104704.213
run34	41094	56249	382413	10310	50226	-64354671.717	-62104704.213
run35	42189	69973	313999	10802	41214	-64368995.460	-62104704.213
run36	34578	51298	375145	9213	44700	-64353795.462	-62104704.213
run37	37020	52992	360803	9380	47046	-64351638.274	-62104704.213
run38	45823	66576	308015	10944	41121	-64369945.448	-62104704.213
run39	37459	51006	462235	8641	47193	-64359538.219	-62104704.213
run40	38759	60313	380480	9943	43181	-64358374.035	-62104704.213
run41	33898	45069	417105	9420	46880	-64354996.074	-62104704.213
run42	35585	50720	424643	9431	47068	-64357459.029	-62104704.213
run43	40173	57155	441006	10778	46820	-64354859.970	-62104704.213
run44	39228	59671	306129	10552	42365	-64362210.898	-62104704.213
run45	34582	51228	383347	9824	48894	-64349166.761	-62104704.213
run46	39479	58875	395155	9440	42339	-64355139.408	-62104704.213
run47	39863	64820	479415	10222	46483	-64372880.208	-62104704.213
run48	32444	50921	369731	8781	49644	-64355013.007	-62104704.213
run49	43420	70630	433429	11355	42047	-64369905.466	-62104704.213
run50	37816	52448	391826	9950	46493	-64357856.688	-62104704.213
run51	34842	49069	378169	9832	48168	-64357027.776	-62104704.213
run52	38046	52792	373323	9619	45670	-64353939.188	-62104704.213
run53	32059	48647	418322	8353	46941	-64353862.405	-62104704.213
run54	36338	52396	425273	9716	44214	-64357644.572	-62104704.213
run55	37449	60099	386872	10388	44752	-64356123.534	-62104704.213
run56	31474	47477	375031	8592	46123	-64353228.638	-62104704.213
run57	38887	57701	449345	10852	43506	-64353805.761	-62104704.213
run58	42627	64230	335287	11543	40678	-64359345.817	-62104704.213
run59	39523	60034	308954	9915	42954	-64362709.873	-62104704.213
run60	34605	53966	401590	9042	43172	-64356450.277	-62104704.213
run61	37600	55521	461908	9792	46869	-64358120.371	-62104704.213
run62	46665	70407	299317	11574	34491	-64382967.397	-62104704.213
run63	35690	53224	444831	9505	48104	-64355163.400	-62104704.213
run64	42209	66733	476782	10606	50115	-64369577.880	-62104704.213
run65	38832	52646	423446	9409	46574	-64357662.855	-62104704.213
run66	38173	62412	348309	9568	43138	-64358783.166	-62104704.213
run67	43270	61955	344866	10922	43225	-64359644.815	-62104704.213
run68	40162	65587	367307	10272	41436	-64361313.362	-62104704.213
run69	40326	69524	394737	11119	41991	-64360400.136	-62104704.213
run70	39416	57157	397798	9781	47970	-64355807.289	-62104704.213
run71	41426	63589	430062	11282	46388	-64362391.132	-62104704.213
run72	44763	61652	346456	10578	42520	-64361885.480	-62104704.213
run73	42794	62574	375262	10727	45243	-64357678.687	-62104704.213
run74	35698	55165	337968	9669	42867	-64353566.983	-62104704.213
run75	36606	54943	388358	9961	45618	-64354582.249	-62104704.213
run76	39989	63256	361878	10615	42819	-64360757.843	-62104704.213
run77	34451	58744	349094	9179	41550	-64353208.886	-62104704.213
run78	37789	57428	417364	10267	41671	-64357921.940	-62104704.213
run79	37933	55406	413560	10228	45084	-64355483.567	-62104704.213
run80	37617	54292	420475	8821	49809	-64356085.432	-62104704.213
run81	44367	63313	373275	11955	44375	-64357003.071	-62104704.213
run82	31617	48460	412403	8641	49199	-64351284.673	-62104704.213
run83	35389	54855	433478	9155	52736	-64359704.280	-62104704.213
run84	31861	44985	450623	8885	51542	-64359863.709	-62104704.213
run85	36844	59019	367921	10379	43128	-64353680.652	-62104704.213
run86	35521	56846	338719	9657	42476	-64353847.462	-62104704.213
run87	41544	62329	395593	10981	44053	-64353349.389	-62104704.213
run88	39066	60916	404390	9878	42997	-64356715.276	-62104704.213
run89	34905	52928	457686	9519	52443	-64362286.463	-62104704.213
run90	40881	61850	463159	11030	43577	-64362041.875	-62104704.213
run91	37682	60509	364548	10009	43891	-64357456.424	-62104704.213
run92	50403	70830	275768	13095	31802	-64389361.005	-62104704.213
run93	45823	67402	317071	12616	35927	-64375839.827	-62104704.213
run94	35681	53413	423408	9604	44607	-64353216.344	-62104704.213
run95	36526	55221	425764	9306	49781	-64354387.008	-62104704.213
run96	37766	58871	359465	10121	44137	-64352945.434	-62104704.213
run97	40798	62588	359690	11404	43427	-64360800.623	-62104704.213
run98	35178	52024	392244	9295	49875	-64353348.866	-62104704.213
run99	38720	59840	368101	10746	44411	-64356291.780	-62104704.213
run100	40052	57590	464423	11027	47296	-64362588.649	-62104704.213
