Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV01	DIV12	MaxEstLhood	MaxObsLhood
run37	5067	24018	359786	1.66662e-04	4.50410e-05	4.82976e-05	1.93886e-07	65086	527758	-63480292.254	-62104704.213
run38	5387	28270	444060	1.67506e-04	3.84845e-05	4.70077e-05	4.15462e-08	34573	196636	-63453342.861	-62104704.213
run39	39141	1305	514573	8.52881e-04	1.91011e-05	8.82128e-06	3.45714e-04	11693	94954	-63158946.344	-62104704.213
run40	5345	27807	458909	1.50253e-04	4.21314e-05	4.50940e-05	1.14836e-06	33305	177302	-63458420.117	-62104704.213
run41	6190	23780	437420	1.51335e-04	3.27663e-05	4.00208e-05	1.44643e-06	39625	191644	-63455706.056	-62104704.213
run42	4286	24688	434439	1.77817e-04	5.98948e-05	5.23409e-05	1.52217e-06	38244	240084	-63462038.041	-62104704.213
run43	15434	1866	571921	5.00121e-04	7.49205e-05	2.72182e-05	2.42325e-04	4089	94585	-63155406.025	-62104704.213
run44	14500	20433	441131	9.62581e-05	1.45658e-05	1.61168e-05	1.18944e-05	52635	137871	-63458943.554	-62104704.213
run45	16218	19825	471518	8.98224e-05	8.89191e-06	1.51671e-05	1.21567e-05	71668	129389	-63461799.369	-62104704.213
run46	11760	25469	461207	1.03825e-04	1.36311e-05	2.09185e-05	5.56067e-06	53692	165963	-63459871.988	-62104704.213
run47	40769	5678	527614	1.70365e-04	3.67463e-05	7.51975e-06	8.50010e-05	10727	90050	-63155925.990	-62104704.213
run48	42768	1900	553892	6.01602e-04	4.94331e-05	4.22031e-06	2.37833e-04	9818	94748	-63147548.861	-62104704.213
run49	5441	24694	472439	1.72673e-04	2.82812e-05	4.71754e-05	1.87554e-06	24876	162492	-63461856.692	-62104704.213
run50	12662	20350	448897	8.88655e-05	1.49618e-05	1.87544e-05	1.03651e-05	46476	149629	-63456901.541	-62104704.213
run51	7835	30029	438142	1.21121e-04	2.15738e-05	3.37237e-05	1.50905e-06	52615	201535	-63458512.585	-62104704.213
run52	39533	7396	513537	1.18885e-04	3.00486e-05	8.53258e-06	6.43185e-05	12029	99956	-63163813.593	-62104704.213
run53	5934	22963	438898	1.44840e-04	3.70189e-05	4.02397e-05	4.20368e-06	42114	221555	-63457686.305	-62104704.213
run54	25503	1871	544495	5.51577e-04	4.33737e-05	1.38529e-05	2.32877e-04	6726	96291	-63147387.021	-62104704.213
run55	33705	1043	534916	0.0011055	1.80485e-05	1.30398e-05	4.02141e-04	9563	95121	-63158011.290	-62104704.213
run56	51791	2188	511147	5.16494e-04	3.43261e-05	3.56717e-06	1.96935e-04	13373	95154	-63159484.096	-62104704.213
run57	50131	1406	555955	7.67720e-04	4.76744e-05	7.56605e-07	3.03400e-04	12124	91875	-63157374.183	-62104704.213
run58	3689	19375	461988	2.36696e-04	5.69404e-05	6.85720e-05	1.77550e-06	22457	182847	-63461402.500	-62104704.213
run59	37752	1951	575436	5.61766e-04	2.99010e-05	8.94711e-06	2.17736e-04	10282	90149	-63153300.355	-62104704.213
run60	5850	24590	428909	1.71232e-04	3.28647e-05	4.34440e-05	1.93130e-06	32603	184757	-63458022.533	-62104704.213
run61	7425	34284	423663	1.14368e-04	2.26780e-05	3.52558e-05	3.44877e-07	46973	171345	-63460511.651	-62104704.213
run62	39418	1681	522792	6.96401e-04	6.69271e-05	1.63990e-06	2.83977e-04	8433	88056	-63149782.063	-62104704.213
run63	10288	27881	417904	9.14606e-05	1.56541e-05	2.33905e-05	4.45131e-06	74087	190472	-63458688.482	-62104704.213
run64	49734	1228	554548	8.90372e-04	5.68300e-05	2.61102e-07	3.49870e-04	10848	86344	-63157591.762	-62104704.213
run65	4634	22790	445158	1.79077e-04	4.19829e-05	5.44892e-05	6.97762e-07	29321	208170	-63458757.817	-62104704.213
run66	56212	10287	512860	8.37471e-05	2.80703e-05	5.08204e-06	4.36053e-05	17370	96421	-63187521.227	-62104704.213
run67	8343	22189	452322	1.15934e-04	2.21602e-05	2.77031e-05	8.03873e-06	50781	167308	-63457542.448	-62104704.213
run68	10557	25946	399082	8.77820e-05	1.07628e-05	2.45115e-05	6.07657e-06	64361	167077	-63464094.361	-62104704.213
run69	37028	1712	565398	7.20989e-04	4.20419e-05	6.24062e-06	2.74083e-04	10208	88875	-63150046.580	-62104704.213
run70	5223	23570	413368	1.72991e-04	4.13440e-05	4.73882e-05	2.69005e-06	36862	214917	-63458011.952	-62104704.213
run71	40097	4854	546958	1.85945e-04	5.24197e-05	5.60422e-06	9.11407e-05	9617	96899	-63151009.899	-62104704.213
run72	36247	3179	535257	2.81691e-04	5.43821e-05	8.68886e-06	1.44133e-04	7719	93910	-63145046.033	-62104704.213
run73	7094	29242	352354	1.34634e-04	3.10501e-05	3.56477e-05	5.55689e-07	100184	677508	-63488913.398	-62104704.213
run74	39809	3422	534050	3.13531e-04	4.16792e-05	7.30754e-06	1.34495e-04	9398	101430	-63149604.603	-62104704.213
run75	35507	1679	565255	6.94174e-04	5.05167e-05	6.50466e-06	2.66993e-04	9050	92083	-63146189.511	-62104704.213
run76	7206	36221	434760	1.25392e-04	2.77929e-05	3.53744e-05	1.62222e-07	43709	181393	-63458560.709	-62104704.213
run77	49096	6093	538468	1.62937e-04	2.77724e-05	5.54155e-06	6.99722e-05	15716	88808	-63172329.787	-62104704.213
run78	6726	34097	443617	1.27484e-04	3.75999e-05	3.50912e-05	2.07799e-07	40496	165247	-63461514.577	-62104704.213
run79	5926	21931	463049	1.48928e-04	3.51161e-05	4.19431e-05	3.54004e-06	30271	175795	-63460565.780	-62104704.213
run80	6492	34157	444108	1.15432e-04	3.88171e-05	3.63808e-05	6.33370e-08	55922	185889	-63462395.734	-62104704.213
run81	3058	19975	451089	2.67541e-04	6.92154e-05	7.92368e-05	2.88219e-07	17917	190552	-63460576.842	-62104704.213
run82	4056	22556	433193	1.99118e-04	4.92938e-05	6.23273e-05	5.09602e-07	22643	176598	-63459394.981	-62104704.213
run83	44773	1151	502626	0.0010581	3.59515e-06	1.21446e-05	3.68423e-04	13162	92499	-63173745.902	-62104704.213
run84	22461	1248	580523	8.13598e-04	5.89302e-05	1.56466e-05	3.74680e-04	5148	92421	-63149159.836	-62104704.213
run85	8481	20647	291645	5.66890e-07	5.63641e-05	1.32194e-05	2.12694e-05	196332	1828302	-63632224.418	-62104704.213
run86	8758	30906	428591	1.08594e-04	2.00353e-05	2.85296e-05	1.71903e-06	54275	202462	-63458938.281	-62104704.213
run87	48000	10327	503452	7.46418e-05	2.63694e-05	4.65348e-06	4.63946e-05	16910	86391	-63192692.116	-62104704.213
run88	3453	24131	485269	2.14802e-04	5.72095e-05	7.04301e-05	2.58197e-07	18637	167480	-63459039.421	-62104704.213
run89	18171	1359	599601	6.95518e-04	1.85598e-04	8.36889e-06	3.47652e-04	3368	99559	-63156646.219	-62104704.213
run90	43836	4489	538336	2.07737e-04	5.46969e-05	6.41293e-06	1.03868e-04	7795	85521	-63149897.368	-62104704.213
run91	42163	6900	516358	1.38936e-04	2.82919e-05	7.67093e-06	6.39367e-05	13281	106293	-63170078.499	-62104704.213
run92	4506	25417	494985	1.88552e-04	4.85694e-05	5.72369e-05	1.91022e-07	24428	161402	-63458565.875	-62104704.213
run93	44543	12913	476741	7.14605e-07	4.71620e-05	4.87547e-06	4.06888e-05	12989	92982	-63187774.562	-62104704.213
run94	14696	21531	465082	9.46914e-05	1.22605e-05	1.68832e-05	9.84734e-06	51604	131015	-63455229.096	-62104704.213
run95	1619	14031	499050	4.14699e-04	1.60773e-04	1.39970e-04	3.40997e-07	10077	169971	-63472548.784	-62104704.213
run96	8965	27899	449818	1.13968e-04	1.33767e-05	2.74137e-05	3.35186e-06	47708	180798	-63458069.692	-62104704.213
run97	48875	3056	520228	3.48866e-04	3.81484e-05	3.43233e-06	1.41657e-04	12505	104022	-63154673.392	-62104704.213
run98	8222	18851	345902	1.56318e-06	8.50832e-05	1.02033e-05	1.95141e-05	114815	504344	-63606120.237	-62104704.213
run99	16532	19406	464952	9.32004e-05	1.13339e-05	1.43545e-05	1.23381e-05	41890	115400	-63461071.024	-62104704.213
run100	6222	24775	474721	1.54394e-04	3.41228e-05	4.04503e-05	2.43425e-06	34871	189888	-63457606.818	-62104704.213
