Run	N_CMC	N_CME	N_CMS	MIG_C2E	MIG_E2C	MIG_S2C	MIG_S2E	DIV01	DIV12	MaxEstLhood	MaxObsLhood
run1	3393	21196	452077	2.48142e-04	7.53474e-05	7.62941e-05	2.26862e-07	19218	167403	-63463279.971	-62104704.213
run2	9823	26652	456500	9.59777e-05	1.82184e-05	2.47349e-05	5.04989e-06	47277	158990	-63457098.513	-62104704.213
run3	5644	27956	465995	1.22846e-04	4.25789e-05	4.13697e-05	3.37521e-06	37685	170473	-63459662.542	-62104704.213
run4	11133	30732	450684	9.80653e-05	1.29968e-05	2.29911e-05	2.92093e-06	44106	140701	-63462974.863	-62104704.213
run5	36363	1696	537775	7.05895e-04	4.47567e-05	5.46414e-06	2.76053e-04	9662	101772	-63148888.662	-62104704.213
run6	47613	1250	536818	8.86801e-04	5.04516e-05	4.57845e-07	3.49879e-04	11966	89641	-63157239.975	-62104704.213
run7	36560	1179	529069	9.18518e-04	4.71870e-05	4.62807e-06	3.76021e-04	9661	94729	-63152777.192	-62104704.213
run8	46203	3596	523033	2.60861e-04	3.19672e-05	6.76627e-06	1.21465e-04	10955	91553	-63155948.087	-62104704.213
run9	4532	25731	470531	2.00541e-04	5.82659e-05	5.44967e-05	5.48581e-07	29341	181256	-63456031.232	-62104704.213
run10	12380	24793	438967	1.04882e-04	1.13487e-05	1.97765e-05	6.98519e-06	69635	175414	-63463118.994	-62104704.213
run11	9795	22473	347721	1.09186e-04	1.32000e-05	2.59070e-05	5.75938e-06	98024	621938	-63493680.630	-62104704.213
run12	47081	11616	501625	3.79818e-06	4.47613e-05	3.40009e-06	4.12178e-05	14385	116645	-63193260.849	-62104704.213
run13	20764	16708	457678	9.76514e-05	6.65859e-06	1.12844e-05	1.71519e-05	76494	128090	-63461702.615	-62104704.213
run14	26371	1068	557167	0.0010690	7.23554e-06	2.12633e-05	4.13278e-04	7554	99146	-63164725.017	-62104704.213
run15	14578	27088	459114	8.67426e-05	8.18080e-06	1.72788e-05	7.45076e-06	59885	130209	-63460991.653	-62104704.213
run16	7420	26298	456185	1.22697e-04	2.54016e-05	3.18748e-05	3.06367e-06	42585	197350	-63457325.555	-62104704.213
run17	4006	22708	447044	2.09976e-04	5.57393e-05	6.07922e-05	1.68223e-07	24921	199917	-63458779.121	-62104704.213
run18	3847	21625	482951	2.24956e-04	4.51327e-05	6.57231e-05	1.17073e-07	21691	177854	-63463162.311	-62104704.213
run19	1952	15101	484063	3.84705e-04	9.90676e-05	1.33318e-04	2.94822e-07	9715	171565	-63469251.488	-62104704.213
run20	36682	1305	543738	9.39448e-04	2.41015e-05	1.09174e-05	3.25636e-04	10203	88915	-63153947.761	-62104704.213
run21	4695	22757	464491	1.77205e-04	4.68284e-05	5.13494e-05	1.68434e-06	28110	171531	-63459250.293	-62104704.213
run22	4020	21205	451876	2.11803e-04	4.57851e-05	6.52745e-05	3.12764e-07	22099	193555	-63456417.245	-62104704.213
run23	44279	6422	540792	1.44885e-04	2.90680e-05	6.11155e-06	7.24458e-05	14419	90169	-63170766.965	-62104704.213
run24	42069	6863	526673	1.22325e-04	3.32912e-05	7.37123e-06	6.89687e-05	11929	100046	-63160564.898	-62104704.213
run25	7086	28071	437778	1.20673e-04	2.86616e-05	3.34715e-05	2.59986e-06	36768	164459	-63454788.349	-62104704.213
run26	32112	3255	521081	3.18626e-04	4.61350e-05	1.06288e-05	1.39222e-04	8097	97009	-63146141.719	-62104704.213
run27	4900	30026	453399	1.77336e-04	4.50029e-05	4.79964e-05	4.56016e-07	28528	172897	-63461107.594	-62104704.213
run28	44529	1633	565787	6.38506e-04	6.06791e-05	2.28271e-07	2.60245e-04	10928	106381	-63152231.235	-62104704.213
run29	6021	34349	448123	1.59188e-04	3.36754e-05	4.27701e-05	8.75323e-08	35202	180663	-63465925.027	-62104704.213
run30	27723	1141	528820	9.63527e-04	2.55269e-05	1.72090e-05	3.99526e-04	7155	99137	-63155799.904	-62104704.213
run31	5834	22519	437283	1.42177e-04	2.68554e-05	4.23504e-05	3.86137e-06	43408	245425	-63463538.213	-62104704.213
run32	3471	21215	454436	2.12378e-04	8.47489e-05	6.80815e-05	1.27149e-07	21846	174632	-63463810.847	-62104704.213
run33	6531	32916	451683	1.34691e-04	3.22559e-05	3.73852e-05	2.56411e-07	44731	186040	-63458425.064	-62104704.213
run34	44054	10033	528635	5.70739e-05	4.58712e-05	4.55581e-06	4.69162e-05	12908	104076	-63179322.714	-62104704.213
run35	38670	2902	514691	3.76248e-04	4.13845e-05	6.84244e-06	1.53110e-04	9439	100748	-63151544.959	-62104704.213
run36	6994	27076	430207	1.48155e-04	2.70001e-05	3.80059e-05	1.84892e-07	36981	182602	-63460495.425	-62104704.213
